QTYPE,bpw,group0
iq1_bn,404,14.450529
iq2_bn,404,14.492848
iq2_bn_r4,404,13.962599
bf16,16.002562,0
iq4_k,4.504407,0.030205
iq4_k_r4,4.504407,0.030199
q4_K,4.504407,0.036332
q4_k_r4,4.504407,0.037022
iq4_nl,4.504404,0
iq4_nl_r4,4.504404,0.003426
q4_0,4.504404,0.043264
q4_0_r8,4.504404,0.043417
iq4_ks,4.262625,0.025706
iq4_ks_r4,4.262625,0.025691
iq4_xs,4.254447,0.008442
iq4_xs_r8,4.254447,0.009354
iq4_kss,4.012665,0.040265
iq4_kt,4.012665,0.044259
iq3_k,3.442077,0.071952
iq3_k_r4,3.442077,0.071930
iq3_s,3.442077,0.080654
iq3_s_r4,3.442077,0.081313
q3_K,3.442077,0.083671
q3_k_r4,3.442077,0.084424
iq3_ks,3.196206,0.091351
iq3_kt,3.137805,0.088382
iq3_xxs,3.067137,0.117252
iq3_xxs_r4,3.067137,0.116946
iq2_kl,2.696286,0.170353
q2_K,2.629707,0.237759
q2_k_r4,2.629707,0.237065
iq2_k,2.379747,0.246592
iq2_k_r4,2.379747,0.246665
iq2_kt,2.137965,0.292349
iq1_kt,1.763026,0.520283
iq1_m_r4,1.759022,0.881883
iq1_m,1.754848,0.870891
