QTYPE,group0
bf16,404
iq1_bn,5561843.878230
iq1_kt,6.126510
iq1_m,8.268140
iq1_m_r4,8.317268
iq2_bn,5837736.786128
iq2_bn_r4,3422567.019292
iq2_k,4.742895
iq2_k_r4,4.743702
iq2_kl,4.479111
iq2_kt,4.982523
iq3_k,4.151884
iq3_k_r4,4.151354
iq3_ks,4.210567
iq3_kt,4.207426
iq3_s,4.187834
iq3_s_r4,4.187597
iq3_xxs,4.311495
iq3_xxs_r4,4.310146
iq4_k,4.051105
iq4_k_r4,4.050847
iq4_ks,4.053393
iq4_ks_r4,4.053609
iq4_kss,4.086196
iq4_kt,4.067448
iq4_nl,4.0554
iq4_nl_r4,4.055125
iq4_xs,4.060803
iq4_xs_r8,4.062623
q2_K,4.759217
q2_k_r4,4.752307
q3_K,4.187984
q3_k_r4,4.193971
q4_0,4.088146
q4_0_r8,4.089321
q4_K,4.056318
q4_k_r4,4.055704
