QTYPE,bpw,group0
iq1_bn,404,14.874413
iq2_bn,404,15.055804
iq2_bn_r4,404,15.038759
bf16,16.003650,0
q8_0,8.505360,0.004892
q8_0_r8,8.505360,0.004342
q8_k_r8,8.070481,0.007550
iq6_k,6.633391,0.005499
q6_K,6.570912,0.006066
q6_k_r4,6.570912,0.008195
q6_0,6.505817,0.006490
q6_0_r4,6.505817,0.006869
q5_1,6.005931,0.011756
iq5_k,5.508763,0.008512
iq5_k_r4,5.508763,0.008512
q5_K,5.508763,0.011856
q5_k_r4,5.508763,0.012106
q5_0,5.506045,0.015295
q5_0_r4,5.506045,0.014573
iq5_ks,5.258846,0.009827
iq5_ks_r4,5.258846,0.009827
q4_1,5.006159,0.027741
iq4_k,4.509094,0.017606
iq4_k_r4,4.509094,0.017606
q4_K,4.509094,0.023768
q4_k_r4,4.509094,0.024260
iq4_nl,4.506273,0.030418
iq4_nl_r4,4.506273,0.029946
q4_0,4.506273,0.039246
q4_0_r8,4.506273,0.039410
iq4_ks,4.259176,0.022500
iq4_ks_r4,4.259176,0.022500
iq4_xs,4.259176,0.025907
iq4_xs_r8,4.259176,0.027640
iq4_kss,4.009259,0.032672
iq4_kt,4.009259,0.029033
iq3_k,3.446945,0.060500
iq3_k_r4,3.446945,0.060500
iq3_s,3.446945,0.074107
iq3_s_r4,3.446945,0.075714
q3_K,3.446945,0.078070
q3_k_r4,3.446945,0.079498
iq3_ks,3.197028,0.080898
iq3_kt,3.134548,0.080309
iq3_xxs,3.072069,0.115862
iq3_xxs_r4,3.072069,0.118132
iq2_kl,2.697193,0.174330
q2_K,2.634714,0.227132
q2_k_r4,2.634714,0.227434
iq2_k,2.384796,0.242824
iq2_k_r4,2.384796,0.242824
iq2_ks,2.197358,0.320975
iq2_kt,2.134879,0.291805
iq1_kt,1.760003,0.503730
iq1_m,1.760003,0.701184
iq1_m_r4,1.756900,1.097915
