QTYPE,group0
bf16,0
iq1_bn,14.874413
iq1_kt,0.503730
iq1_m,0.701184
iq1_m_r4,1.097915
iq2_bn,15.055804
iq2_bn_r4,15.038759
iq2_k,0.242824
iq2_k_r4,0.242824
iq2_kl,0.174330
iq2_ks,0.320975
iq2_kt,0.291805
iq3_k,0.060500
iq3_k_r4,0.060500
iq3_ks,0.080898
iq3_kt,0.080309
iq3_s,0.074107
iq3_s_r4,0.075714
iq3_xxs,0.115862
iq3_xxs_r4,0.118132
iq4_k,0.017606
iq4_k_r4,0.017606
iq4_ks,0.022500
iq4_ks_r4,0.022500
iq4_kss,0.032672
iq4_kt,0.029033
iq4_nl,0.030418
iq4_nl_r4,0.029946
iq4_xs,0.025907
iq4_xs_r8,0.027640
iq5_k,0.008512
iq5_k_r4,0.008512
iq5_ks,0.009827
iq5_ks_r4,0.009827
iq6_k,0.005499
q2_K,0.227132
q2_k_r4,0.227434
q3_K,0.078070
q3_k_r4,0.079498
q4_0,0.039246
q4_0_r8,0.039410
q4_1,0.027741
q4_K,0.023768
q4_k_r4,0.024260
q5_0,0.015295
q5_0_r4,0.014573
q5_1,0.011756
q5_K,0.011856
q5_k_r4,0.012106
q6_0,0.006490
q6_0_r4,0.006869
q6_K,0.006066
q6_k_r4,0.008195
q8_0,0.004892
q8_0_r8,0.004342
q8_k_r8,0.007550
