QTYPE,group0
bf16,4.7233
iq1_bn,9504086.152998
iq1_kt,7.058973
iq1_m,8.373603
iq1_m_r4,11.787234
iq2_bn,11237763.660762
iq2_bn_r4,11049630.283086
iq2_k,5.658381
iq2_k_r4,5.658381
iq2_kl,5.348438
iq2_ks,6.075044
iq2_kt,5.914149
iq3_k,4.911066
iq3_k_r4,4.911066
iq3_ks,4.989547
iq3_kt,4.936577
iq3_s,4.983835
iq3_s_r4,4.992723
iq3_xxs,5.121620
iq3_xxs_r4,5.138343
iq4_k,4.755216
iq4_k_r4,4.755216
iq4_ks,4.777080
iq4_ks_r4,4.777080
iq4_kss,4.821149
iq4_kt,4.789356
iq4_nl,4.793008
iq4_nl_r4,4.792592
iq4_xs,4.786251
iq4_xs_r8,4.795125
iq5_k,4.734221
iq5_k_r4,4.734221
iq5_ks,4.739194
iq5_ks_r4,4.739194
iq6_k,4.727225
q2_K,5.601041
q2_k_r4,5.606248
q3_K,4.982635
q3_k_r4,4.985523
q4_0,4.830662
q4_0_r8,4.828022
q4_1,4.794677
q4_K,4.781342
q4_k_r4,4.779751
q5_0,4.752156
q5_0_r4,4.753716
q5_1,4.742885
q5_K,4.740680
q5_k_r4,4.740556
q6_0,4.732151
q6_0_r4,4.732321
q6_K,4.728460
q6_k_r4,4.736234
q8_0,4.720398
q8_0_r8,4.720390
q8_k_r8,4.733381
