QTYPE,group0
bf16,404
iq1_bn,404
iq1_kt,6.521780
iq1_m,404
iq1_s,14.822980
iq2_bn,404
iq2_k,4.724609
iq2_kl,4.258816
iq2_ks,5.287406
iq2_kt,4.935800
iq3_k,3.743140
iq3_ks,3.856473
iq3_kt,3.845901
iq3_s,3.775422
iq3_xxs,3.974061
iq4_k,3.601793
iq4_ks,3.611653
iq4_kss,3.644353
iq4_kt,3.621771
iq4_nl,3.614879
iq4_xs,3.615509
iq4_xs_r8,3.596959
iq5_k,3.571858
iq5_k_r4,3.571858
iq5_ks,3.571485
iq6_k,404
q2_K,4.583011
q3_K,3.774968
q4_0,3.631248
q4_0_r8,3.610952
q4_1,3.608681
q4_K,3.606603
q5_0,3.577121
q5_0_r4,3.556394
q5_1,3.574203
q5_K,3.576428
q5_k_r4,3.555094
q6_0,3.558899
q6_0_r4,3.542242
q6_K,3.562865
q6_k_r4,3.545532
q8_0,404
