QTYPE,group0
bf16,404
iq1_bn,404
iq1_kt,68.442
iq1_m,404
iq1_s,51.591
iq2_bn,404
iq2_k,78.610
iq2_kl,82.538
iq2_ks,74.931
iq2_kt,77.061
iq3_k,89.687
iq3_ks,88.069
iq3_kt,88.246
iq3_s,89.277
iq3_xxs,86.237
iq4_k,93.646
iq4_ks,93.167
iq4_kss,92.108
iq4_kt,92.348
iq4_nl,92.943
iq4_xs,92.896
iq4_xs_r8,93.329
iq5_k,94.924
iq5_k_r4,94.924
iq5_ks,94.878
iq6_k,404
q2_K,79.299
q3_K,88.864
q4_0,92.544
q4_0_r8,93.005
q4_1,93.189
q4_K,93.165
q5_0,94.718
q5_0_r4,95.371
q5_1,94.972
q5_K,94.793
q5_k_r4,95.533
q6_0,95.342
q6_0_r4,96.149
q6_K,95.386
q6_k_r4,96.186
q8_0,404
