QTYPE,bpw,group0
iq1_bn,404,404
bf16,16.003359,0
q8_0,8.504934,0.054659
q8_KV,8.005039,0.163017
iq6_k,6.630344,0.084394
q6_K,6.567857,0.077462
q6_0,6.505354,0.081357
q5_1,6.005459,0.154628
iq5_k,5.505581,0.081602
q5_K,5.505581,0.180779
q5_0,5.505564,0.256161
q5_0_r4,5.505564,404
iq5_ks,5.255634,0.220124
q4_1,5.005669,0.207517
iq4_k,4.505792,0.223794
iq4_k_r4,4.505792,0.223794
q4_K,4.505792,0.396703
iq4_nl,4.505774,0.223097
iq4_nl_r4,4.505774,404
q4_0,4.505774,0.225319
q4_0_r8,4.505774,404
iq4_ks,4.255844,0.234593
iq4_xs,4.255844,0.305036
iq4_kss,4.005897,0.280070
iq4_kt,4.005897,0.268249
iq3_k,3.443516,0.525699
iq3_s,3.443516,0.743532
q3_K,3.443516,1.352454
iq3_ks,3.193568,0.610567
iq3_kt,3.131081,0.503380
iq3_xxs,3.068595,0.944086
iq2_kl,2.693674,1.165602
q2_K,2.631187,1.962279
q2_k_r4,2.631187,404
iq2_s,2.568766,1.444573
iq2_k,2.381239,2.411764
iq2_k_r4,2.381239,2.413921
iq2_xs,2.318820,1.767830
iq2_xs_r4,2.318820,1.761822
iq2_ks,2.193779,6.071710
iq2_kt,2.131292,2.292917
iq2_xxs,2.068873,3.739984
iq2_xxs_r4,2.068873,3.757911
iq1_kt,1.756371,8.664964
iq1_m,1.756371,11.027261
iq1_m_r4,1.756351,11.192683
iq1_s,1.568979,11.655390
iq1_s_r4,1.506472,14.204437
