QTYPE,group0
bf16,8.6012
iq1_bn,404
iq1_kt,22971.485117
iq1_m,275544.629805
iq1_m_r4,329418.838856
iq1_s,559909.472953
iq1_s_r4,7257067.654318
iq2_k,38.415511
iq2_k_r4,38.466128
iq2_kl,10.265752
iq2_ks,1699.219658
iq2_kt,46.942046
iq2_s,14.622940
iq2_xs,29.353962
iq2_xs_r4,30.198208
iq2_xxs,162.764642
iq2_xxs_r4,166.213481
iq3_k,12.652643
iq3_ks,8.327962
iq3_kt,9.755463
iq3_s,9.576023
iq3_xxs,11.454419
iq4_k,8.285625
iq4_k_r4,8.285625
iq4_ks,8.389125
iq4_kss,8.764855
iq4_kt,8.312198
iq4_nl,9.427774
iq4_nl_r4,404
iq4_xs,10.129377
iq5_k,8.582147
iq5_ks,7.754457
iq6_k,8.417677
q2_K,21.640455
q2_k_r4,404
q3_K,27.796447
q4_0,8.977012
q4_0_r8,404
q4_1,8.508009
q4_K,7.177278
q5_0,7.748975
q5_0_r4,404
q5_1,8.541756
q5_K,7.995444
q6_0,8.652513
q6_K,8.736310
q8_0,8.654583
q8_KV,8.151010
