QTYPE,group0
bf16,0.000159
iq1_bn,12.386248
iq1_kt,0.830421
iq1_m,1.279517
iq1_m_r4,1.395057
iq1_s,1.82694
iq1_s_r4,2.366712
iq2_bn,12.739519
iq2_bn_r4,12.738332
iq2_k,0.378154
iq2_k_r4,0.378154
iq2_kl,0.248924
iq2_ks,0.515664
iq2_kt,0.449752
iq2_s,0.576055
iq2_xs,0.74378
iq2_xs_r4,0.741828
iq2_xxs,1.554802
iq2_xxs_r4,1.561171
iq3_k,0.086584
iq3_k_r4,0.086584
iq3_ks,0.117936
iq3_kt,0.112269
iq3_s,0.090825
iq3_s_r4,0.091436
iq3_xxs,0.156948
iq3_xxs_r4,0.156931
iq4_k,0.028133
iq4_k_r4,0.028133
iq4_ks,0.033917
iq4_ks_r4,0.033917
iq4_kss,0.044833
iq4_kt,0.043493
iq4_nl,0.03528
iq4_nl_r4,0.03503
iq4_xs,0.036524
iq4_xs_r8,0.036745
iq5_k,0.014463
iq5_k_r4,0.014463
iq5_ks,0.015996
iq5_ks_r4,0.015996
iq6_k,0
q2_K,0.350664
q2_k_r4,0.350466
q3_K,0.101614
q3_k_r4,0.101956
q4_0,0.041932
q4_0_r8,0.041816
q4_1,0.03254
q4_K,0.034221
q4_k_r4,0.033235
q5_0,0.017613
q5_0_r4,0.018349
q5_1,0.016234
q5_K,0.016919
q5_k_r4,0.016497
q6_0,0.011421
q6_0_r4,0.011783
q6_K,0.010623
q6_k_r4,0.011343
q8_0,1.186161
q8_0_r8,1.398704
q8_k_r8,2.003614
q8_KV,2.446614
