QTYPE,group0
bf16,404
iq1_kt,0.815388
iq1_m,0.707736
iq1_m_r4,0.699252
iq1_s,0.880508
iq1_s_r4,0.861999
iq2_k,0.338782
iq2_kl,0.239687
iq2_ks,0.379601
iq2_kt,0.318129
iq2_s,0.291337
iq2_xs,0.345387
iq2_xxs,0.436325
iq3_k,0.105737
iq3_ks,0.134585
iq3_kt,0.125485
iq3_s,0.112832
iq3_xxs,0.176602
iq4_k,0.046730
iq4_ks,0.051815
iq4_kss,0.065924
iq4_kt,0.067191
iq4_nl,0.053446
iq4_xs,0.053780
iq5_k,0
iq5_ks,0.028969
q2_K,0.275189
q3_K,0.101683
q4_0,0.063302
q4_1,0.053680
q4_K,0.048327
q6_k,404
q8_0,404
