QTYPE,bpw,group0
bf16,16.002590,404
q8_0,8.833149,404
iq4_k,4.504453,0.032368
q4_K,4.504453,0.032803
iq4_nl,4.504452,404
q4_0,4.504452,0
iq4_ks,4.254494,0.034315
iq4_xs,4.254494,0.035667
iq4_kss,4.004534,0.043842
iq4_kt,4.004534,0.040870
iq3_k,3.442126,0.067561
iq3_s,3.442126,0.672886
q3_K,3.442126,0.082234
iq3_ks,3.192166,0.086742
iq3_kt,3.129676,0.254377
iq3_xxs,3.067186,0.130917
iq2_kl,2.692247,0.176959
q2_K,2.629757,0.292384
iq2_s,2.567273,12.874496
iq2_k,2.379798,0.298689
iq2_xs,2.317313,0.424801
iq2_ks,2.192328,0.422451
iq2_kt,2.129838,0.360930
iq2_xxs,2.067354,0.996697
iq1_kt,1.754899,0.777884
iq1_m,1.754899,1.561863
iq1_s,1.567435,2.747386
