QTYPE,group0
bf16,0
iq1_bn,9.733758
iq1_kt,0.777884
iq1_m,2.247089
iq1_m_r4,2.247089
iq1_s,2.562741
iq1_s_r4,4.023789
iq2_bn,10.590559
iq2_bn_r4,10.574326
iq2_k,0.301313
iq2_k_r4,0.301313
iq2_kl,0.287068
iq2_ks,0.444063
iq2_kt,0.264149
iq2_s,0.132116
iq2_xs,0.057738
iq2_xs_r4,0.057738
iq2_xxs,0.165145
iq2_xxs_r4,0.165145
iq3_k,0.150208
iq3_k_r4,0.150208
iq3_ks,0.155473
iq3_kt,0.147355
iq3_s,0.183984
iq3_s_r4,0.183984
iq3_xxs,0.234427
iq3_xxs_r4,0.234427
iq4_k,0.078141
iq4_k_r4,0.078141
iq4_ks,0.088867
iq4_ks_r4,0.088867
iq4_kss,0.106845
iq4_kt,0.105244
iq4_nl,0.091103
iq4_nl_r4,0.090976
iq4_xs,0.092447
iq4_xs_r8,0.092447
iq5_k,0.048572
iq5_k_r4,0.048572
iq5_ks,0.053518
iq5_ks_r4,0.053518
iq6_k,0.031608
q2_K,0.484713
q2_k_r4,0.484713
q3_K,0.196033
q3_k_r4,0.196033
q4_0,0.104877
q4_0_r8,0.104877
q4_1,0.084613
q4_K,0.087128
q4_k_r4,0.087128
q5_0,0.055208
q5_0_r4,0.055257
q5_1,0.046095
q5_K,0.052833
q5_k_r4,0.052963
q6_0,0.034182
q6_0_r4,0.034128
q6_K,0.03265
q6_k_r4,0.034603
q8_0,0.017437
q8_0_r8,0.017486
q8_k_r8,0.021699
q8_KV,0.047344
