QTYPE,bpw,group0
bf16,404,404
iq1_kt,404,0.772286
iq2_s,404,11.962301
iq3_s,404,0.539688
q4_0,404,404
q4_1,404,404
q8_0,404,0
iq4_k,4.504480,0.013117
iq4_nl,4.504452,0.020919
iq4_ks,4.262676,0.020581
iq4_xs,4.254521,0.016630
iq4_kss,4.012717,0.031946
iq4_kt,4.012717,0.027381
iq3_k,3.442126,0.054643
q3_K,3.442126,0.070903
iq3_ks,3.196257,0.083335
iq3_kt,3.137859,0.207188
iq3_xxs,3.067186,0.134717
iq2_kl,2.696338,0.185243
q2_K,2.629757,0.295279
iq2_k,2.379798,0.308760
iq2_xs,2.317308,0.442623
iq2_ks,2.196419,0.449228
iq2_kt,2.138020,0.366244
iq2_xxs,2.067348,0.820928
iq1_m_r4,1.759093,0.491091
iq1_m,1.757405,0.399846
iq1_s,1.569950,0.491923
iq1_s_r4,1.509136,0.643276
