QTYPE,group0
bf16,0
iq1_bn,8.810645
iq1_kt,0.357465
iq1_m,1.162022
iq1_m_r4,1.427196
iq1_s,0.365672
iq1_s_r4,0.478181
iq2_bn,11.036483
iq2_bn_r4,11.019131
iq2_k,0.268795
iq2_k_r4,0.268795
iq2_kl,0.22668
iq2_ks,0.399374
iq2_kt,0.190175
iq2_s,6.724844
iq2_xs,0.165424
iq2_xs_r4,0.165424
iq2_xxs,0.435618
iq2_xxs_r4,0.435618
iq3_k,0.090033
iq3_k_r4,0.090033
iq3_ks,0.111899
iq3_kt,0.179381
iq3_s,0.370658
iq3_s_r4,0.370658
iq3_xxs,0.189512
iq3_xxs_r4,0.189512
iq4_k,0.034706
iq4_k_r4,0.034706
iq4_ks,0.04155
iq4_ks_r4,0.04155
iq4_kss,0.056034
iq4_kt,0.05299
iq4_nl,0.040442
iq4_nl_r4,0.040442
iq4_xs,0.040475
iq4_xs_r8,0.040475
iq5_k,0.026358
iq5_k_r4,0.026358
iq5_ks,0.031368
iq5_ks_r4,0.031368
iq6_k,0.011485
q2_K,0.427317
q2_k_r4,0.427317
q3_K,0.132416
q3_k_r4,0.132416
q4_0,0.087286
q4_0_r8,0.087179
q4_1,0.064599
q4_K,0.068315
q4_k_r4,0.068261
q5_0,0.033451
q5_0_r4,0.033503
q5_1,0.024859
q5_K,0.030912
q5_k_r4,0.031051
q6_0,0.013777
q6_0_r4,0.013719
q6_K,0.012367
q6_k_r4,0.014454
q8_0,0.002534
q8_0_r8,0.002534
q8_k_r8,0.006481
q8_KV,0.033654
