QTYPE,group0
bf16,0
iq1_bn,14.911959
iq1_kt,2.762495
iq1_m,4.714440
iq1_m_r4,4.592813
iq2_bn,15.057154
iq2_bn_r4,15.048502
iq2_k,0.876010
iq2_k_r4,0.876010
iq2_kl,0.571016
iq2_ks,1.294646
iq2_kt,1.260498
iq3_k,0.169741
iq3_k_r4,0.169741
iq3_ks,0.215258
iq3_kt,0.231590
iq3_s,0.219562
iq3_s_r4,0.222516
iq3_xxs,0.340314
iq3_xxs_r4,0.343778
iq4_k,0.035973
iq4_k_r4,0.035973
iq4_ks,0.045900
iq4_ks_r4,0.045900
iq4_kss,0.078382
iq4_kt,0.072904
iq4_nl,0.052020
iq4_nl_r4,0.052047
iq4_xs,0.053582
iq4_xs_r8,0.055976
iq5_k,0.009999
iq5_k_r4,0.009999
iq5_ks,0.012069
iq5_ks_r4,0.012069
iq6_k,0.003430
q2_K,0.913772
q2_k_r4,0.914154
q3_K,0.218203
q3_k_r4,0.221381
q4_0,0.067794
q4_0_r8,0.067862
q4_1,0.048578
q4_K,0.047219
q4_k_r4,0.047737
q5_0,0.018166
q5_0_r4,0.018225
q5_1,0.013761
q5_K,0.013639
q5_k_r4,0.013954
q6_0,0.005352
q6_0_r4,0.005358
q6_K,0.003884
q6_k_r4,0.005888
q8_0,0.001441
q8_0_r8,0.001319
q8_k_r8,0.003554
iq1_s,4.936381
iq1_s_r4,5.481083
iq2_s,0.445754
iq2_xs,0.611461
iq2_xs_r4,0.615931
iq2_xxs,1.037696
iq2_xxs_r4,1.043830
q8_KV,0.039830
