QTYPE,group0
bf16,6.8085
iq1_bn,10417818.844050
iq1_kt,79.898169
iq1_m,569.044591
iq1_m_r4,496.657100
iq2_bn,11940416.927871
iq2_bn_r4,11836916.867579
iq2_k,14.484090
iq2_k_r4,14.484090
iq2_kl,10.795412
iq2_ks,21.177892
iq2_kt,20.565281
iq3_k,7.751581
iq3_k_r4,7.751581
iq3_ks,8.095834
iq3_kt,8.194859
iq3_s,8.339285
iq3_s_r4,8.358215
iq3_xxs,9.054154
iq3_xxs_r4,9.079855
iq4_k,7.052637
iq4_k_r4,7.052637
iq4_ks,7.061861
iq4_ks_r4,7.061861
iq4_kss,7.357944
iq4_kt,7.179714
iq4_nl,7.106149
iq4_nl_r4,7.105782
iq4_xs,7.102611
iq4_xs_r8,7.110711
iq5_k,6.862858
iq5_k_r4,6.862858
iq5_ks,6.888845
iq5_ks_r4,6.888845
iq6_k,6.821949
q2_K,15.055053
q2_k_r4,15.054830
q3_K,8.159074
q3_k_r4,8.176300
q4_0,7.228222
q4_0_r8,7.228231
q4_1,7.109021
q4_K,7.088620
q4_k_r4,7.082233
q5_0,6.903010
q5_0_r4,6.902746
q5_1,6.860095
q5_K,6.852127
q5_k_r4,6.850340
q6_0,6.841647
q6_0_r4,6.841726
q6_K,6.840432
q6_k_r4,6.845462
q8_0,6.816316
q8_0_r8,6.815850
q8_k_r8,6.828400
iq1_s,632.043224
iq1_s_r4,1109.994263
iq2_s,9.466799
iq2_xs,10.653709
iq2_xs_r4,10.688427
iq2_xxs,15.334722
iq2_xxs_r4,15.408260
q8_KV,6.993419
