QTYPE,group0
bf16,404
iq1_bn,0.001
iq1_kt,34.342
iq1_m,18.294
iq1_m_r4,18.594
iq2_bn,0.000
iq2_bn_r4,0.000
iq2_k,60.585
iq2_k_r4,60.585
iq2_kl,66.439
iq2_ks,52.021
iq2_kt,54.151
iq3_k,80.616
iq3_k_r4,80.616
iq3_ks,79.062
iq3_kt,78.003
iq3_s,78.895
iq3_s_r4,78.768
iq3_xxs,74.108
iq3_xxs_r4,73.990
iq4_k,90.300
iq4_k_r4,90.300
iq4_ks,89.329
iq4_ks_r4,89.329
iq4_kss,86.403
iq4_kt,86.619
iq4_nl,88.871
iq4_nl_r4,88.858
iq4_xs,88.750
iq4_xs_r8,88.561
iq5_k,94.952
iq5_k_r4,94.952
iq5_ks,94.592
iq5_ks_r4,94.592
iq6_k,96.632
q2_K,59.410
q2_k_r4,59.399
q3_K,78.706
q3_k_r4,78.655
q4_0,87.696
q4_0_r8,87.718
q4_1,88.972
q4_K,89.097
q4_k_r4,89.080
q5_0,93.290
q5_0_r4,93.243
q5_1,93.940
q5_K,94.128
q5_k_r4,94.029
q6_0,96.224
q6_0_r4,96.176
q6_K,96.602
q6_k_r4,96.071
q8_0,97.837
q8_0_r8,97.824
q8_k_r8,97.259
