QTYPE,bpw,group0
iq1_bn,404,14.758228
iq2_bn,404,15.467749
iq2_bn_r4,404,15.445743
bf16,16.000780,0
q8_0,8.501146,0.001449
q8_0_r8,8.501146,0.001515
q8_k_r8,8.063792,0.004102
q8_KV,8.001170,0.038383
iq6_k,6.626237,0.003411
q6_K,6.563740,0.004040
q6_k_r4,6.563740,0.006687
q6_0,6.501243,0.005317
q6_0_r4,6.501243,0.005244
q5_1,6.001268,0.014465
iq5_k,5.501292,0.009814
iq5_k_r4,5.501292,0.009814
q5_0,5.501292,0.018810
q5_0_r4,5.501292,0.018876
q5_K,5.501292,0.015590
q5_k_r4,5.501292,0.015766
iq5_ks,5.251304,0.012268
iq5_ks_r4,5.251304,0.012268
q4_1,5.001316,0.050200
iq4_k,4.501341,0.034494
iq4_k_r4,4.501341,0.034494
iq4_nl,4.501341,0.052065
iq4_nl_r4,4.501341,0.051893
q4_0,4.501341,0.070737
q4_0_r8,4.501341,0.070601
q4_K,4.501341,0.046677
q4_k_r4,4.501341,0.046609
iq4_ks,4.251353,0.047722
iq4_ks_r4,4.251353,0.047722
iq4_xs,4.251353,0.052575
iq4_xs_r8,4.251353,0.055797
iq4_kss,4.001365,0.073993
iq4_kt,4.001365,0.071823
iq3_k,3.438892,0.164337
iq3_k_r4,3.438892,0.164337
iq3_s,3.438892,0.210123
iq3_s_r4,3.438892,0.213001
q3_K,3.438892,0.226457
q3_k_r4,3.438892,0.228156
iq3_ks,3.188905,0.211158
iq3_kt,3.126408,0.214378
iq3_xxs,3.063911,0.348842
iq3_xxs_r4,3.063911,0.351102
iq2_kl,2.688929,0.584754
q2_K,2.626432,0.895361
q2_k_r4,2.626432,0.896636
iq2_s,2.564089,0.465971
iq2_k,2.376444,0.883945
iq2_k_r4,2.376444,0.883945
iq2_xs,2.314102,0.633596
iq2_xs_r4,2.314102,0.636844
iq2_ks,2.188953,1.347207
iq2_kt,2.126456,1.214565
iq2_xxs,2.064116,1.202639
iq2_xxs_r4,2.064116,1.208328
iq1_kt,1.751475,2.692801
iq1_m,1.751475,4.684445
iq1_m_r4,1.751475,4.617296
iq1_s,1.564143,4.562480
iq1_s_r4,1.501646,5.124850
