QTYPE,group0
bf16,7.2265
iq1_bn,9123929.929511
iq1_kt,80.608088
iq1_m,609.670281
iq1_m_r4,570.169501
iq2_bn,17853869.749153
iq2_bn_r4,17487260.185298
iq2_k,15.827438
iq2_k_r4,15.827438
iq2_kl,12.044653
iq2_ks,24.806784
iq2_kt,21.656080
iq3_k,8.287913
iq3_k_r4,8.287913
iq3_ks,8.602324
iq3_kt,8.733115
iq3_s,8.826191
iq3_s_r4,8.839121
iq3_xxs,9.781024
iq3_xxs_r4,9.793186
iq4_k,7.517527
iq4_k_r4,7.517527
iq4_ks,7.585431
iq4_ks_r4,7.585431
iq4_kss,7.775266
iq4_kt,7.660959
iq4_nl,7.543243
iq4_nl_r4,7.541489
iq4_xs,7.589788
iq4_xs_r8,7.605491
iq5_k,7.274880
iq5_k_r4,7.274880
iq5_ks,7.270741
iq5_ks_r4,7.270741
iq6_k,7.256332
q2_K,16.264167
q2_k_r4,16.273562
q3_K,8.812455
q3_k_r4,8.813808
q4_0,7.657352
q4_0_r8,7.656109
q4_1,7.502771
q4_K,7.505003
q4_k_r4,7.497150
q5_0,7.367913
q5_0_r4,7.367603
q5_1,7.286938
q5_K,7.268696
q5_k_r4,7.263088
q6_0,7.248658
q6_0_r4,7.249111
q6_K,7.234210
q6_k_r4,7.241449
q8_0,7.230749
q8_0_r8,7.232169
q8_k_r8,7.246778
q8_KV,7.407778
iq1_s,501.663632
iq1_s_r4,891.669217
iq2_s,10.555866
iq2_xs,12.024392
iq2_xs_r4,12.054592
iq2_xxs,20.216508
iq2_xxs_r4,20.308590
