QTYPE,group0
bf16,404
iq1_bn,0.000
iq1_kt,34.399
iq1_m,17.503
iq1_m_r4,18.295
iq2_bn,0.000
iq2_bn_r4,0.000
iq2_k,60.124
iq2_k_r4,60.124
iq2_kl,66.434
iq2_ks,51.768
iq2_kt,55.255
iq3_k,81.128
iq3_k_r4,81.128
iq3_ks,79.901
iq3_kt,79.344
iq3_s,79.543
iq3_s_r4,79.398
iq3_xxs,73.403
iq3_xxs_r4,73.273
iq4_k,91.440
iq4_k_r4,91.440
iq4_ks,89.620
iq4_ks_r4,89.620
iq4_kss,87.178
iq4_kt,86.818
iq4_nl,89.039
iq4_nl_r4,89.085
iq4_xs,89.099
iq4_xs_r8,88.874
iq5_k,94.983
iq5_k_r4,94.983
iq5_ks,94.534
iq5_ks_r4,94.534
iq6_k,97.161
q2_K,59.414
q2_k_r4,59.409
q3_K,78.309
q3_k_r4,78.234
q4_0,87.810
q4_0_r8,87.829
q4_1,89.097
q4_K,90.009
q4_k_r4,89.965
q5_0,93.371
q5_0_r4,93.364
q5_1,94.092
q5_K,93.951
q5_k_r4,93.922
q6_0,96.517
q6_0_r4,96.515
q6_K,96.754
q6_k_r4,96.194
q8_0,97.952
q8_0_r8,97.920
q8_k_r8,97.376
q8_KV,91.207
