QTYPE,bpw,group0
iq1_bn,404,13.884127
iq2_bn,404,14.272700
bf16,16.003408,404
q8_0,8.505006,0
iq6_k,6.630406,0.003060
q6_K,6.567919,0.003364
q6_0,6.505432,0.003859
q5_1,6.005539,0.006843
iq5_k,5.505645,0.005316
q5_0,5.505645,0.008270
iq5_ks,5.267650,0.006401
q4_1,5.005752,0.019444
iq4_k,4.505858,0.014054
q4_0,4.505858,0.025014
q4_K,4.505858,0.018891
iq4_ks,4.267863,0.018210
iq4_xs,4.255911,0.019297
iq4_kss,4.017916,0.027846
iq4_kt,4.017916,0.025426
iq3_k,3.443585,0.054513
iq3_s,3.443585,0.075309
q3_K,3.443585,0.069679
iq3_ks,3.199613,0.079621
iq3_xxs,3.068664,0.124390
iq2_kl,2.699720,0.185507
q2_K,2.631258,0.262157
iq2_k,2.381311,0.284751
iq2_ks,2.199826,0.401179
iq2_kt,2.143315,0.309234
iq1_kt,1.768395,0.586868
