QTYPE,group0
bf16,0
iq1_bn,5.181471
iq1_kt,0.41791
iq1_m,1.185222
iq1_m_r4,1.156924
iq1_s,0.629469
iq1_s_r4,0.638647
iq2_bn,6.1216
iq2_bn_r4,6.1216
iq2_k,0.2588
iq2_k_r4,0.2588
iq2_kl,0.205211
iq2_ks,0.359222
iq2_kt,0.261666
iq2_s,0.135679
iq2_xs,0.113353
iq2_xs_r4,0.114721
iq2_xxs,0.175141
iq2_xxs_r4,0.177538
iq3_k,0.077151
iq3_k_r4,0.077151
iq3_ks,0.097096
iq3_kt,0.102201
iq3_s,0.098651
iq3_s_r4,0.098651
iq3_xxs,0.146237
iq3_xxs_r4,0.146237
iq4_k,0.023093
iq4_k_r4,0.023093
iq4_ks,0.029535
iq4_ks_r4,0.029535
iq4_kss,0.042562
iq4_kt,0.04069
iq4_nl,0.035361
iq4_nl_r4,0.035288
iq4_xs,0.031921
iq4_xs_r8,0.031921
iq5_k,0.008505
iq5_k_r4,0.008505
iq5_ks,0.010355
iq5_ks_r4,0.010355
iq6_k,0.003419
q2_K,0.307645
q2_k_r4,0.307645
q3_K,0.101952
q3_k_r4,0.101952
q4_0,0.037794
q4_0_r8,0.037794
q4_1,0.026721
q4_K,0.028932
q4_k_r4,0.028932
q5_0,0.01218
q5_0_r4,0.01218
q5_1,0.008878
q5_K,0.012467
q5_k_r4,0.012541
q6_0,0.00437
q6_0_r4,0.00437
q6_K,0.003774
q6_k_r4,0.003774
q8_0,0.000719
q8_0_r8,0.000719
q8_k_r8,0.002338
q8_KV,0.016819
