QTYPE,bpw,group0
iq1_bn,404,14.091151
iq2_bn,404,13.808440
bf16,16.003408,404
q8_0,8.505006,0
iq6_k,6.630406,0.003112
q6_K,6.567919,0.003434
q6_0,6.505432,0.003925
q5_1,6.005539,0.007166
iq5_k,5.505645,0.005572
q5_0,5.505645,0.008383
iq5_ks,5.255698,0.006594
q4_1,5.005752,0.019906
iq4_k,4.505858,0.014500
q4_0,4.505858,0.026212
q4_K,4.505858,0.018967
iq4_ks,4.255911,0.019100
iq4_xs,4.255911,0.019601
iq4_kss,4.005965,0.028930
iq4_kt,4.005965,0.024830
iq3_k,3.443585,0.056392
iq3_s,3.443585,0.077345
q3_K,3.443585,0.070498
iq3_ks,3.193638,0.083249
iq3_xxs,3.068664,0.126119
iq2_kl,2.693744,0.188662
q2_K,2.631258,0.281125
iq2_k,2.381311,0.290294
iq2_ks,2.193851,0.423104
iq2_kt,2.131364,0.322424
iq1_kt,1.756444,0.612531
