QTYPE,bpw,group0
iq1_bn,404,14.088868
iq2_bn,404,12.795787
iq2_bn_r4,404,12.796837
bf16,16.010601,0
q8_0,8.515570,0.001520
q8_0_r8,8.515570,0.001541
q8_k_r8,8.086456,0.004437
q8_KV,8.015901,0.015805
iq6_k,6.641812,0.004684
q6_K,6.579354,0.005170
q6_k_r4,6.579354,0.007651
q6_0,6.516895,0.006930
q6_0_r4,6.516895,0.006938
q5_1,6.017226,0.018897
iq5_k,5.517558,0.013036
iq5_k_r4,5.517558,0.013036
q5_0,5.517558,0.026122
q5_0_r4,5.517558,0.026129
q5_K,5.517558,0.020085
q5_k_r4,5.517558,0.019266
iq5_ks,5.267723,0.016613
iq5_ks_r4,5.267723,0.016613
q4_1,5.017889,0.066607
iq4_k,4.518220,0.046921
iq4_k_r4,4.518220,0.046921
iq4_nl,4.518220,0.073093
iq4_nl_r4,4.518220,0.073098
q4_0,4.518220,0.110903
q4_0_r8,4.518220,0.110843
q4_K,4.518220,0.065581
q4_k_r4,4.518220,0.064748
iq4_ks,4.268386,0.065745
iq4_ks_r4,4.268386,0.065745
iq4_xs,4.268386,0.074549
iq4_xs_r8,4.268386,0.077274
iq4_kss,4.018551,0.104869
iq4_kt,4.018551,0.092218
iq3_k,3.456424,0.218754
iq3_k_r4,3.456424,0.218754
iq3_s,3.456424,0.256589
iq3_s_r4,3.456424,0.259752
q3_K,3.456424,0.319246
q3_k_r4,3.456424,0.322463
iq3_ks,3.206590,0.314045
iq3_kt,3.144131,0.303917
iq3_xxs,3.081672,0.500616
iq3_xxs_r4,3.081672,0.504673
iq2_kl,2.706921,0.862841
q2_K,2.644462,1.301156
q2_k_r4,2.644462,1.300175
iq2_s,2.582004,1.117554
iq2_k,2.394628,1.425290
iq2_k_r4,2.394628,1.425290
iq2_xs,2.332169,1.689800
iq2_xs_r4,2.332169,1.696529
iq2_ks,2.207252,2.110549
iq2_kt,2.144794,1.707268
iq2_xxs,2.082335,2.906030
iq2_xxs_r4,2.082335,2.912531
iq1_kt,1.770042,3.657568
iq1_m,1.770042,5.732462
iq1_m_r4,1.770042,5.563449
iq1_s,1.592961,5.243228
iq1_s_r4,1.530523,5.353654
