QTYPE,group0
bf16,0
iq1_bn,14.088868
iq1_kt,3.657568
iq1_m,5.732462
iq1_m_r4,5.563449
iq1_s,5.243228
iq1_s_r4,5.353654
iq2_bn,12.795787
iq2_bn_r4,12.796837
iq2_k,1.425290
iq2_k_r4,1.425290
iq2_kl,0.862841
iq2_ks,2.110549
iq2_kt,1.707268
iq2_s,1.117554
iq2_xs,1.689800
iq2_xs_r4,1.696529
iq2_xxs,2.906030
iq2_xxs_r4,2.912531
iq3_k,0.218754
iq3_k_r4,0.218754
iq3_ks,0.314045
iq3_kt,0.303917
iq3_s,0.256589
iq3_s_r4,0.259752
iq3_xxs,0.500616
iq3_xxs_r4,0.504673
iq4_k,0.046921
iq4_k_r4,0.046921
iq4_ks,0.065745
iq4_ks_r4,0.065745
iq4_kss,0.104869
iq4_kt,0.092218
iq4_nl,0.073093
iq4_nl_r4,0.073098
iq4_xs,0.074549
iq4_xs_r8,0.077274
iq5_k,0.013036
iq5_k_r4,0.013036
iq5_ks,0.016613
iq5_ks_r4,0.016613
iq6_k,0.004684
q2_K,1.301156
q2_k_r4,1.300175
q3_K,0.319246
q3_k_r4,0.322463
q4_0,0.110903
q4_0_r8,0.110843
q4_1,0.066607
q4_K,0.065581
q4_k_r4,0.064748
q5_0,0.026122
q5_0_r4,0.026129
q5_1,0.018897
q5_K,0.020085
q5_k_r4,0.019266
q6_0,0.006930
q6_0_r4,0.006938
q6_K,0.005170
q6_k_r4,0.007651
q8_0,0.001520
q8_0_r8,0.001541
q8_k_r8,0.004437
q8_KV,0.015805
