QTYPE,group0
bf16,9.6856
iq1_bn,9617355.902667
iq1_kt,375.550122
iq1_m,2975.977741
iq1_m_r4,2534.368664
iq1_s,1846.116625
iq1_s_r4,2074.627856
iq2_bn,2786697.949807
iq2_bn_r4,2788478.038689
iq2_k,41.356399
iq2_k_r4,41.356399
iq2_kl,23.678154
iq2_ks,80.151338
iq2_kt,54.959330
iq2_s,30.720027
iq2_xs,55.011684
iq2_xs_r4,55.405630
iq2_xxs,184.403327
iq2_xxs_r4,185.607077
iq3_k,12.279785
iq3_k_r4,12.279785
iq3_ks,13.596783
iq3_kt,13.427547
iq3_s,12.569232
iq3_s_r4,12.618758
iq3_xxs,16.181884
iq3_xxs_r4,16.252847
iq4_k,10.154770
iq4_k_r4,10.154770
iq4_ks,10.336819
iq4_ks_r4,10.336819
iq4_kss,10.738095
iq4_kt,10.720932
iq4_nl,10.415452
iq4_nl_r4,10.414121
iq4_xs,10.429691
iq4_xs_r8,10.453443
iq5_k,9.817288
iq5_k_r4,9.817288
iq5_ks,9.882006
iq5_ks_r4,9.882006
iq6_k,9.721261
q2_K,36.660463
q2_k_r4,36.619285
q3_K,13.584498
q3_k_r4,13.626050
q4_0,10.976147
q4_0_r8,10.976387
q4_1,10.386779
q4_K,10.393072
q4_k_r4,10.385451
q5_0,9.956382
q5_0_r4,9.958041
q5_1,9.856388
q5_K,9.889612
q5_k_r4,9.871996
q6_0,9.759849
q6_0_r4,9.759545
q6_K,9.743987
q6_k_r4,9.771697
q8_0,9.692431
q8_0_r8,9.693674
q8_k_r8,9.716229
q8_KV,9.841493
