QTYPE,bpw,group0
iq1_m,404,1.003735
iq1_s,404,1.102438
iq1_s_r4,404,1.258464
iq2_ks,404,1.320015
iq2_s,404,404
iq2_xxs,404,0.432838
iq4_nl,404,0.014611
q2_K,404,0.124217
q4_K,404,0.012508
q5_K,404,0.006173
bf16,16.005238,0
q8_0,8.507694,0.002407
iq6_k,6.633308,0.003835
q6_K,6.570828,0.003617
q6_0,6.508349,0.004056
q5_1,6.008512,0.007414
iq5_k,5.508676,0.005889
q5_0,5.508676,0.008928
iq5_ks,5.275727,0.006865
q4_1,5.008840,0.018187
iq4_k,4.509003,0.014144
q4_0,4.509003,0.026323
iq4_ks,4.276055,0.018386
iq4_xs,4.259085,0.020578
iq4_kss,4.026137,0.025491
iq4_kt,4.026137,0.022941
iq3_k,3.446851,0.049985
iq3_s,3.446851,0.057660
q3_K,3.446851,0.068860
iq3_ks,3.205418,0.228565
iq3_kt,3.151423,0.251041
iq3_xxs,3.071974,0.094253
iq2_kl,2.705582,0.157590
iq2_k,2.384699,0.249010
iq2_xs,2.322220,0.282583
iq2_kt,2.151750,0.296209
iq2_xxs_r4,2.072301,404
iq1_kt,1.776873,0.727148
iq1_m_r4,1.768356,0.970057
