QTYPE,group0
bf16,4.0759
iq1_kt,8.181057
iq1_m,5.268680
iq1_s,5.267088
iq1_s_r4,14.054065
iq2_k,5.158083
iq2_kl,4.708697
iq2_ks,14.739527
iq2_kt,5.369567
iq2_s,4.972214
iq2_xs,5.312262
iq2_xxs,4.666431
iq2_xxs_r4,404
iq3_k,4.243794
iq3_ks,5.023871
iq3_kt,5.121048
iq3_s,4.272964
iq3_xxs,4.437760
iq4_k,4.112455
iq4_ks,4.127222
iq4_kss,4.149059
iq4_kt,4.137988
iq4_nl,4.112877
iq4_xs,4.131979
iq5_k,4.085643
iq5_ks,4.086036
iq6_k,4.080460
q2_K,4.568434
q3_K,4.313840
q4_0,4.155540
q4_1,4.124762
q4_K,4.105748
q5_0,4.095649
q5_1,4.088229
q5_K,4.086612
q6_0,4.079790
q6_K,4.079239
q8_0,4.074895
