QTYPE,group0
iq1_bn,778969.794350
iq1_kt,6.816792
iq1_m,8.959528
iq1_s,97585999285773041664.000000
iq1_s_r4,12.566506
iq2_bn,728606.868304
iq2_k,5.563674
iq2_kl,5.180953
iq2_ks,5.931513
iq2_kt,5.696578
iq2_s,83724.651438
iq2_xs,5.712851
iq2_xxs,6.590041
iq3_k,4.770793
iq3_ks,4.841985
iq3_kt,4.820298
iq3_s,699991781.465639
iq3_xxs,4.951102
iq4_k,4.629243
iq4_ks,4.643435
iq4_kss,4.671587
iq4_kt,4.657077
iq4_nl,4.647994
iq4_xs,4.648498
iq5_k,4.597461
iq5_ks,4.598567
iq6_k,4.589786
q2_K,5.448295
q3_K,4.832473
q4_0,4.675501
q4_1,4.639964
q4_K,4.640087
q5_0,4.604622
q5_1,4.601601
q5_K,4.602671
q6_0,4.592135
q6_K,4.590234
q8_0,4.587055
