QTYPE,group0
bf16,7.6609
iq1_bn,1249855.978116
iq1_kt,67.234850
iq1_m,358.038580
iq1_m_r4,407.540200
iq1_s,350.615936
iq1_s_r4,453.332356
iq2_bn,1220084.732760
iq2_bn_r4,1219983.565095
iq2_k,18.487890
iq2_k_r4,18.487890
iq2_kl,12.569546
iq2_ks,33.143400
iq2_kt,21.589410
iq2_s,16.117089
iq2_xs,22.433500
iq2_xs_r4,22.553353
iq2_xxs,54.850348
iq2_xxs_r4,55.333931
iq3_k,8.752093
iq3_k_r4,8.752093
iq3_ks,9.321900
iq3_kt,9.154105
iq3_s,9.006818
iq3_s_r4,9.028214
iq3_xxs,10.460384
iq3_xxs_r4,10.496309
iq4_k,7.868408
iq4_k_r4,7.868408
iq4_ks,7.978071
iq4_ks_r4,7.978071
iq4_kss,8.140108
iq4_kt,8.062636
iq4_nl,8.015174
iq4_nl_r4,8.017379
iq4_xs,8.020684
iq4_xs_r8,8.036687
iq5_k,7.719388
iq5_k_r4,7.719388
iq5_ks,7.727496
iq5_ks_r4,7.727496
iq6_k,7.691207
q2_K,16.825341
q2_k_r4,16.819112
q3_K,9.340706
q3_k_r4,9.363608
q4_0,8.168236
q4_0_r8,8.167337
q4_1,7.985977
q4_K,7.990529
q4_k_r4,7.984345
q5_0,7.783995
q5_0_r4,7.783094
q5_1,7.745706
q5_K,7.755899
q5_k_r4,7.754462
q6_0,7.699495
q6_0_r4,7.698911
q6_K,7.688922
q6_k_r4,7.705318
q8_0,7.663382
q8_0_r8,7.663224
q8_k_r8,7.686652
q8_KV,7.785913
