QTYPE,bpw,group0
iq1_bn,404,13.185450
iq2_bn,404,13.013211
iq2_bn_r4,404,13.012958
bf16,16.010254,0
q8_0,8.515061,0.003577
iq6_k,6.641262,0.004746
q6_K,6.578802,0.005062
q6_0,6.516342,0.005988
q5_1,6.016663,0.010227
iq5_k,5.516983,0.007962
q5_0,5.516983,0.012156
q5_K,5.516983,0.010841
iq5_ks,5.267144,0.009292
q4_1,5.017304,0.023394
iq4_k,4.517624,0.018021
iq4_nl,4.517624,0.026107
q4_0,4.517624,0.036023
q4_K,4.517624,0.024051
iq4_ks,4.267784,0.023492
iq4_xs,4.267784,0.026964
iq4_kss,4.017945,0.033067
iq4_kt,4.017945,0.028039
iq3_k,3.455805,0.061835
iq3_s,3.455805,32.375442
q3_K,3.455805,0.086834
iq3_ks,3.205965,0.088011
iq3_kt,3.143505,0.079443
iq3_xxs,3.081045,0.119577
iq2_kl,2.706286,0.183619
q2_K,2.643826,0.268626
iq2_s,2.581366,10.778374
iq2_k,2.393986,0.296467
iq2_xs,2.331526,0.337849
iq2_ks,2.206606,0.407862
iq2_kt,2.144146,0.316945
iq2_xxs,2.081686,0.556344
iq1_kt,1.769387,0.640287
iq1_m,1.769387,0.997983
iq1_s,1.582297,404
iq1_s_r4,1.519838,1.460267
