QTYPE,group0
bf16,5.5902
iq1_bn,2614662.904187
iq1_kt,10.342923
iq1_m,14.807834
iq1_s,404
iq1_s_r4,23.443411
iq2_bn,2219815.698673
iq2_bn_r4,2219304.225889
iq2_k,7.345670
iq2_kl,6.556706
iq2_ks,8.207139
iq2_kt,7.466534
iq2_s,243472.153103
iq2_xs,7.657873
iq2_xxs,9.494279
iq3_k,5.859638
iq3_ks,5.991231
iq3_kt,5.965843
iq3_s,594725519157067.250000
iq3_xxs,6.184524
iq4_k,5.653574
iq4_ks,5.679434
iq4_kss,5.718637
iq4_kt,5.693681
iq4_nl,5.694395
iq4_xs,5.687876
iq5_k,5.609876
iq5_ks,5.608902
iq6_k,5.595917
q2_K,7.156132
q3_K,6.008671
q4_0,5.729970
q4_1,5.662121
q4_K,5.667947
q5_0,5.611403
q5_1,5.608473
q5_K,5.612238
q6_0,5.597413
q6_K,5.597687
q8_0,5.584934
