QTYPE,group0
bf16,404
iq1_kt,0.718931
iq1_m,404
iq1_m_r4,0.901304
iq1_s,404
iq1_s_r4,1.652824
iq2_k,0.221351
iq2_kl,0.139308
iq2_ks,0.493872
iq2_kt,0.301363
iq2_s,0.246305
iq2_xs,0.303701
iq2_xxs,0.200445
iq3_k,0.042440
iq3_ks,0.150065
iq3_kt,0.056102
iq3_s,0.063681
iq3_xxs,0.097900
iq4_k,0.011172
iq4_ks,0.015006
iq4_kss,0.022482
iq4_kt,0.017761
iq4_nl,0.012949
iq4_xs,0.017140
iq5_k,0.004708
iq5_ks,0.005492
iq6_k,0.002566
q2_K,0.091791
q3_K,0.057147
q4_0,0.022501
q4_1,0.015008
q4_K,0.010394
q5_0,0.007651
q5_1,0.006141
q5_K,0.005173
q6_0,0.003306
q6_K,0.002802
q8_0,0
