QTYPE,bpw,group0
iq1_bn,404,12.440949
iq2_bn,404,12.186900
iq2_bn_r4,404,12.183271
bf16,16.003658,0
q8_0,8.505373,0.001284
q8_0_r8,8.505373,0.001263
q8_k_r8,8.068947,0.004332
q8_KV,8.005487,0.019754
iq6_k,6.630801,0.003290
q6_K,6.568316,0.003130
q6_k_r4,6.568316,0.005679
q6_0,6.505830,0.004178
q6_0_r4,6.505830,0.004212
q5_1,6.005944,0.011316
iq5_k,5.506059,0.007374
iq5_k_r4,5.506059,0.007374
q5_0,5.506059,0.013314
q5_0_r4,5.506059,0.013319
q5_K,5.506059,0.012040
q5_k_r4,5.506059,0.011006
iq5_ks,5.256116,0.009280
iq5_ks_r4,5.256116,0.009280
q4_1,5.006173,0.034305
iq4_k,4.506287,0.024105
iq4_k_r4,4.506287,0.024105
iq4_nl,4.506287,0.036269
iq4_nl_r4,4.506287,0.036367
q4_0,4.506287,0.048901
q4_0_r8,4.506287,0.048947
q4_K,4.506287,0.033932
q4_k_r4,4.506287,0.033178
iq4_ks,4.256344,0.031706
iq4_ks_r4,4.256344,0.031706
iq4_xs,4.256344,0.037006
iq4_xs_r8,4.256344,0.039240
iq4_kss,4.006401,0.050372
iq4_kt,4.006401,0.045079
iq3_k,3.444030,0.101673
iq3_k_r4,3.444030,0.101673
iq3_s,3.444030,0.120170
iq3_s_r4,3.444030,0.122144
q3_K,3.444030,0.142849
q3_k_r4,3.444030,0.144625
iq3_ks,3.194087,0.147254
iq3_kt,3.131602,0.139925
iq3_xxs,3.069116,0.211591
iq3_xxs_r4,3.069116,0.213726
iq2_kl,2.694202,0.338868
q2_K,2.631716,0.537461
q2_k_r4,2.631716,0.535407
iq2_s,2.569230,0.517868
iq2_k,2.381773,0.593673
iq2_k_r4,2.381773,0.593673
iq2_xs,2.319287,0.680578
iq2_xs_r4,2.319287,0.684671
iq2_ks,2.194316,0.853907
iq2_kt,2.131830,0.671485
iq2_xxs,2.069344,1.120452
iq2_xxs_r4,2.069344,1.127939
iq1_kt,1.756916,1.446859
iq1_m,1.756916,2.569257
iq1_m_r4,1.756916,2.594600
iq1_s,1.570698,2.602819
iq1_s_r4,1.508215,2.694365
