QTYPE,group0
bf16,0
iq1_bn,12.440949
iq1_kt,1.446859
iq1_m,2.569257
iq1_m_r4,2.594600
iq1_s,2.602819
iq1_s_r4,2.694365
iq2_bn,12.186900
iq2_bn_r4,12.183271
iq2_k,0.593673
iq2_k_r4,0.593673
iq2_kl,0.338868
iq2_ks,0.853907
iq2_kt,0.671485
iq2_s,0.517868
iq2_xs,0.680578
iq2_xs_r4,0.684671
iq2_xxs,1.120452
iq2_xxs_r4,1.127939
iq3_k,0.101673
iq3_k_r4,0.101673
iq3_ks,0.147254
iq3_kt,0.139925
iq3_s,0.120170
iq3_s_r4,0.122144
iq3_xxs,0.211591
iq3_xxs_r4,0.213726
iq4_k,0.024105
iq4_k_r4,0.024105
iq4_ks,0.031706
iq4_ks_r4,0.031706
iq4_kss,0.050372
iq4_kt,0.045079
iq4_nl,0.036269
iq4_nl_r4,0.036367
iq4_xs,0.037006
iq4_xs_r8,0.039240
iq5_k,0.007374
iq5_k_r4,0.007374
iq5_ks,0.009280
iq5_ks_r4,0.009280
iq6_k,0.003290
q2_K,0.537461
q2_k_r4,0.535407
q3_K,0.142849
q3_k_r4,0.144625
q4_0,0.048901
q4_0_r8,0.048947
q4_1,0.034305
q4_K,0.033932
q4_k_r4,0.033178
q5_0,0.013314
q5_0_r4,0.013319
q5_1,0.011316
q5_K,0.012040
q5_k_r4,0.011006
q6_0,0.004178
q6_0_r4,0.004212
q6_K,0.003130
q6_k_r4,0.005679
q8_0,0.001284
q8_0_r8,0.001263
q8_k_r8,0.004332
q8_KV,0.019754
