QTYPE,group0
bf16,404
iq1_bn,0.000
iq1_kt,48.583
iq1_m,35.401
iq1_m_r4,35.832
iq1_s,36.324
iq1_s_r4,36.280
iq2_bn,0.000
iq2_bn_r4,0.000
iq2_k,65.279
iq2_k_r4,65.279
iq2_kl,73.319
iq2_ks,59.511
iq2_kt,63.344
iq2_s,65.915
iq2_xs,62.612
iq2_xs_r4,62.511
iq2_xxs,54.429
iq2_xxs_r4,54.227
iq3_k,84.625
iq3_k_r4,84.625
iq3_ks,81.619
iq3_kt,82.203
iq3_s,83.220
iq3_s_r4,83.085
iq3_xxs,78.460
iq3_xxs_r4,78.409
iq4_k,91.896
iq4_k_r4,91.896
iq4_ks,404
iq4_ks_r4,91.111
iq4_kss,88.635
iq4_kt,89.278
iq4_nl,90.308
iq4_nl_r4,90.306
iq4_xs,90.153
iq4_xs_r8,89.924
iq5_k,95.090
iq5_k_r4,95.090
iq5_ks,94.808
iq5_ks_r4,94.808
iq6_k,96.591
q2_K,66.935
q2_k_r4,66.996
q3_K,82.199
q3_k_r4,82.096
q4_0,89.110
q4_0_r8,89.138
q4_1,90.668
q4_K,90.695
q4_k_r4,90.763
q5_0,93.900
q5_0_r4,93.875
q5_1,94.550
q5_K,94.620
q5_k_r4,94.687
q6_0,96.560
q6_0_r4,96.534
q6_K,96.648
q6_k_r4,96.011
q8_0,97.525
q8_0_r8,97.515
q8_k_r8,97.098
q8_KV,93.413
