QTYPE,bpw,group0
iq1_bn,404,12.660053
iq2_bn,404,12.362746
iq2_bn_r4,404,12.366460
bf16,16.001897,0
q8_0,8.502786,0.001109
iq6_k,6.628008,0.002092
q6_K,6.565515,0.002385
q6_0,6.503023,0.003176
q5_1,6.003082,0.015164
iq5_k,5.503141,0.004913
q5_0,5.503141,0.009392
q5_K,5.503141,0.015644
iq5_ks,5.253171,0.006073
q4_1,5.003201,0.028564
iq4_k,4.503260,0.014988
iq4_k_r4,4.503260,0.014988
iq4_nl,4.503260,0.023289
iq4_nl_r4,4.503260,0.023268
q4_0,4.503260,0.032300
q4_0_r8,4.503260,404
q4_K,4.503260,0.028837
iq4_ks,4.253289,0.020523
iq4_ks_r4,4.253289,0.020523
iq4_xs,4.253289,0.024304
iq4_xs_r8,4.253289,0.028066
iq4_kss,4.003319,0.030834
iq4_kt,4.003319,0.026341
iq3_k,3.440886,0.062807
iq3_k_r4,3.440886,0.062807
iq3_s,3.440886,0.075105
iq3_s_r4,3.440886,0.079312
q3_K,3.440886,0.087002
q3_k_r4,3.440886,0.090979
iq3_ks,3.190915,0.101367
iq3_kt,3.128423,0.084882
iq3_xxs,3.065930,0.126127
iq3_xxs_r4,3.065930,0.130694
iq2_kl,2.690975,0.198051
q2_K,2.628482,0.325013
q2_k_r4,2.628482,0.299836
iq2_s,2.565989,0.306164
iq2_k,2.378512,0.325464
iq2_k_r4,2.378512,0.325464
iq2_xs,2.316019,0.406014
iq2_xs_r4,2.316019,0.412136
iq2_ks,2.191034,0.508005
iq2_kt,2.128541,0.372610
iq2_xxs,2.066049,0.684172
iq2_xxs_r4,2.066049,0.693446
iq1_kt,1.753586,0.755937
iq1_m,1.753586,1.281074
iq1_m_r4,1.753586,1.320319
iq1_s,1.566570,1.878489
iq1_s_r4,1.504079,1.887369
