QTYPE,group0
bf16,0
iq1_bn,12.660053
iq1_kt,0.755937
iq1_m,1.281074
iq1_m_r4,1.320319
iq1_s,1.878489
iq1_s_r4,1.887369
iq2_bn,12.362746
iq2_bn_r4,12.366460
iq2_k,0.325464
iq2_k_r4,0.325464
iq2_kl,0.198051
iq2_ks,0.508005
iq2_kt,0.372610
iq2_s,0.306164
iq2_xs,0.406014
iq2_xs_r4,0.412136
iq2_xxs,0.684172
iq2_xxs_r4,0.693446
iq3_k,0.062807
iq3_k_r4,0.062807
iq3_ks,0.101367
iq3_kt,0.084882
iq3_s,0.075105
iq3_s_r4,0.079312
iq3_xxs,0.126127
iq3_xxs_r4,0.130694
iq4_k,0.014988
iq4_k_r4,0.014988
iq4_ks,0.020523
iq4_ks_r4,0.020523
iq4_kss,0.030834
iq4_kt,0.026341
iq4_nl,0.023289
iq4_nl_r4,0.023268
iq4_xs,0.024304
iq4_xs_r8,0.028066
iq5_k,0.004913
iq5_ks,0.006073
iq6_k,0.002092
q2_K,0.325013
q2_k_r4,0.299836
q3_K,0.087002
q3_k_r4,0.090979
q4_0,0.032300
q4_0_r8,404
q4_1,0.028564
q4_K,0.028837
q5_0,0.009392
q5_1,0.015164
q5_K,0.015644
q6_0,0.003176
q6_K,0.002385
q8_0,0.001109
