QTYPE,bpw,group0
bf16,16.000695,0
q8_0,8.501020,0.302346
iq6_k,6.626101,0.356183
q6_K,6.563604,0.382647
q6_0,6.501160,0.416877
q5_1,6.001183,0.578857
q5_K,5.501661,0.552377
q5_0,5.501580,0.638107
iq5_k,5.501205,0.490355
iq5_ks,5.255838,0.556428
q4_1,5.001228,0.915279
q4_K,4.501724,0.812720
q4_0,4.501639,1.118070
iq4_k,4.501300,0.770603
iq4_nl,4.501300,0.895876
iq4_ks,4.255880,0.866974
iq4_xs,4.251312,0.910401
iq4_kss,4.005892,0.976929
iq4_kt,4.005892,0.909949
q3_K,3.439594,1.474885
iq3_k,3.438850,1.783056
iq3_s,3.438850,1.864520
iq3_ks,3.191146,1.732006
iq3_kt,3.130933,1.556121
iq3_xxs,3.063756,2.036462
iq2_kl,2.691170,2.512170
q2_K,2.627154,2.890383
iq2_k,2.376572,3.237888
iq2_xs,2.313788,4.513374
iq2_ks,2.191135,4.862568
iq2_kt,2.130978,3.566989
iq2_xxs,2.063799,6.209134
iq1_kt,1.755997,4.891857
iq1_m_r4,1.753517,6.946105
iq1_m,1.751313,6.020635
iq1_s,1.563884,12.828787
iq1_s_r4,1.503698,16.469333
