QTYPE,group0
bf16,0
iq1_kt,4.891857
iq1_m,6.020635
iq1_m_r4,6.946105
iq1_s,12.828787
iq1_s_r4,16.469333
iq2_k,3.237888
iq2_kl,2.512170
iq2_ks,4.862568
iq2_kt,3.566989
iq2_xs,4.513374
iq2_xxs,6.209134
iq3_k,1.783056
iq3_ks,1.732006
iq3_kt,1.556121
iq3_s,1.864520
iq3_xxs,2.036462
iq4_k,0.770603
iq4_ks,0.866974
iq4_kss,0.976929
iq4_kt,0.909949
iq4_nl,0.895876
iq4_xs,0.910401
iq5_k,0.490355
iq5_ks,0.556428
iq6_k,0.356183
q2_K,2.890383
q3_K,1.474885
q4_0,1.118070
q4_1,0.915279
q4_K,0.812720
q5_0,0.638107
q5_1,0.578857
q5_K,0.552377
q6_0,0.416877
q6_K,0.382647
q8_0,0.302346
