QTYPE,group0
bf16,1719.8854
iq1_kt,18690.435675
iq1_m,22014.580709
iq1_m_r4,22178.355059
iq1_s,274856.838823
iq1_s_r4,585606.907307
iq2_k,4517.637485
iq2_kl,3546.437283
iq2_ks,17535.423339
iq2_kt,14677.651798
iq2_s,16209.451153
iq2_xs,16209.451153
iq2_xxs,14896.861182
iq3_k,8225.797147
iq3_ks,1260.814725
iq3_kt,2489.286606
iq3_s,3692.609267
iq3_xxs,3698.378208
iq4_k,1788.009233
iq4_ks,1593.463151
iq4_kss,1968.681280
iq4_kt,1379.610548
iq4_nl,2012.383731
iq4_xs,1979.367832
iq5_k,1673.368905
iq5_ks,1528.910827
iq6_k,1652.323307
q2_K,912.703119
q3_K,1239.298290
q4_0,1388.660670
q4_1,1944.408550
q4_K,1965.362245
q5_0,1712.169327
q5_1,1604.485567
q5_K,1736.937969
q6_0,1794.736688
q6_K,1685.200187
q8_0,1673.057498
