QTYPE,bpw,ppl
q8_0,8.504,3.2119
iq5_ks,5.289,3.2276
q5_0,5.0601,3.2219
q4_K,4.701,3.2286
q4_K,4.578,3.2483
q4_K,4.5267,3.2299
q4_K,4.508,3.2895
q4_K,4.5065,3.235
iq4_ks,4.2683,3.2598
iq3_kl,3.9584,3.2473
iq3_kl,3.9399,3.2466
iq3_kl,3.847,3.273
iq3_m,3.598,3.2983
iq3_m,3.5784,3.273
iq3_s,3.483,3.3056
iq3_xs,3.2466,3.3057
iq3_kt,3.183,3.3317
iq3_kt,3.1712,3.3299
iq3_kt,3.1497,3.3273
iq3_kt,3.142,3.3317
iq3_kt,3.1418,3.33
iq3_kt,3.1027,3.3427
iq3_kt,3.0999,3.3467
iq3_xxs,2.994,3.5278
iq3_xxs,2.93,3.4379
iq2_m,2.799,3.5069
iq2_m,2.7921,3.4451
iq2_s,2.514,3.6378
iq2_kt,2.1169,4.0294
iq2_xxs,1.9413,4.3624
iq2_xxs,1.9364,4.3581
iq1_kt,1.664,4.8805
iq1_kt,1.664,4.8831
