QTYPE,bpw,ppl
q8_0,10.045,10.7062
q8_0,8.501,10.5525
q8_0,8.501,10.5526
q8_0,8.501,10.5526
q8_0,8.501,10.5525
q8_0,8.501,10.5532
q6_K,7.264,10.5797
q6_K,6.751,10.6912
q6_K,6.6845,10.5467
q6_K,6.6265,10.5621
q6_K,6.564,10.7257
q6_K,6.564,10.7348
q6_K,6.564,10.6544
q6_K,6.564,10.6552
q6_K,6.564,10.7244
q5_K,5.922,10.6793
q5_K,5.754,10.7784
q5_K,5.735,10.7748
q5_K,5.735,10.7231
q5_K,5.735,10.8258
q5_K,5.735,10.8192
q5_K,5.735,10.721
q5_K,5.616,10.6497
q5_K,5.604,10.6549
q5_K,5.604,10.5957
q5_K,5.604,10.8113
q5_K,5.604,10.815
q5_K,5.604,10.598
q5_0,5.152,10.8538
q5_0,5.152,10.8403
q5_0,5.142,10.9365
q5_0,5.052,10.9573
q5_0,4.955,10.9921
q5_0,4.955,10.9781
q5_0,4.955,10.9113
q5_0,4.955,10.922
q5_0,4.955,10.9481
q4_K,4.728,10.8718
q4_K,4.728,10.8473
q4_K,4.728,11.2573
q4_K,4.728,11.2567
q4_K,4.728,10.8425
q4_K,4.724,10.7528
q4_K,4.724,10.7939
q4_K,4.724,10.7442
q4_K,4.713,10.8348
q4_K,4.713,10.8076
q4_K,4.713,10.8056
q4_K,4.63,11.2627
q4_K,4.535,10.7452
q4_K,4.504,10.7647
q4_K,4.504,10.764
q4_K,4.504,10.7242
q4_K,4.443,11.3005
q4_K,4.443,11.7258
q4_K,4.443,11.7248
q4_K,4.443,11.3057
iq4_ks,4.2498,10.9335
iq4_ks,4.221,11.3124
iq4_nl,4.116,11.427
iq4_nl,4.116,11.4083
iq4_nl,4.116,12.3885
iq4_nl,4.116,12.384
iq4_nl,4.116,11.4434
iq3_kl,3.892,11.3112
iq3_kl,3.892,11.308
iq3_m,3.766,11.343
iq3_m,3.741,11.9811
iq3_m,3.741,12.0883
iq3_m,3.741,12.6712
iq3_m,3.741,12.6776
iq3_m,3.741,12.0901
iq3_m,3.6548,11.5728
iq3_m,3.5993,11.3565
iq3_m,3.597,11.4887
iq3_m,3.597,11.3167
iq3_s,3.496,13.7778
q3_K,3.4352,11.6253
iq3_xs,3.361,12.9665
iq3_xs,3.318,12.7225
iq3_xs,3.31,12.2406
iq3_xs,3.31,12.2499
iq3_xs,3.309,13.8653
iq3_xs,3.309,13.8653
iq3_xs,3.309,13.8324
iq3_xs,3.309,19.5303
iq3_xs,3.309,19.5369
iq3_xs,3.309,13.8128
iq3_kt,3.1107,12.378
iq3_kt,3.098,14.8762
iq3_xxs,3.032,14.3921
iq3_xxs,3.0132,12.7592
iq3_xxs,2.997,14.2503
iq3_xxs,2.997,14.0072
iq2_m,2.8732,13.3805
iq2_m,2.807,15.4143
iq2_m,2.706,14.5672
iq2_m,2.681,16.6476
iq2_s,2.485,23.6168
iq2_s,2.467,21.9866
iq2_s,2.4436,17.63
iq2_xs,2.262,41.972
iq2_ks,2.1936,23.043
iq2_kt,2.142,76.5958
