QTYPE,bpw,ppl
bf16,16.011,18.6076
bf16,16.011,18.6076
bf16,16.011,18.6096
bf16,16.011,18.6069
bf16,12.499,18.6148
q8_0,8.534,18.6302
q8_0,8.516,18.633
q8_0,8.516,18.633
q8_0,8.516,18.6326
q8_0,8.082,18.7037
q8_0,7.629,18.7525
iq6_k,7.193,18.5727
iq6_k,6.975,18.747
iq6_k,6.8123,18.6112
iq6_k,6.678,18.7972
q6_K,6.579,18.8238
q6_K,6.579,18.8238
q6_K,6.538,18.5658
q6_0,6.46,19.3216
q6_0,6.333,18.7202
q5_1,6.157,18.4643
q5_1,6.15,18.6372
q5_1,6.102,19.169
q5_1,5.932,18.4932
q5_1,5.912,20.6323
q5_1,5.877,19.501
q5_1,5.825,18.9701
q5_1,5.806,19.3336
iq5_k,5.655,19.3259
iq5_k,5.574,19.4854
iq5_k,5.546,19.3892
iq5_k,5.52,19.3647
iq5_k,5.492,19.484
iq5_k,5.492,19.484
iq5_ks,5.346,19.9555
iq5_ks,5.344,21.2278
iq5_ks,5.286,19.594
iq5_ks,5.276,20.6057
iq5_ks,5.273,19.5036
iq5_ks,5.257,20.6077
iq5_ks,5.233,19.7464
iq5_ks,5.199,29.4807
iq5_ks,5.188,19.8571
q4_1,5.125,21.0854
q4_1,5.121,19.3725
q4_1,5.117,20.6983
q4_1,5.073,19.8886
q4_1,5.014,20.0349
q4_1,4.972,22.1105
q4_1,4.957,22.8966
q4_1,4.909,20.2261
q4_1,4.883,20.421
q4_1,4.825,23.2117
iq4_k,4.57,22.3036
iq4_k,4.544,29.4966
iq4_k,4.513,26.9428
iq4_k,4.442,23.0413
iq4_ks,4.325,26.0405
iq4_ks,4.2807,19.8514
iq4_kss,4.118,24.0257
iq4_kss,4.092,140.3112
iq3_kl,3.838,28.8226
iq3_m,3.782,35.3154
iq3_k,3.48,63.5738
iq3_k,3.4318,21.8911
iq2_s,2.5811,39.1872
iq2_xxs,2.0256,157.5438
iq1_m,1.7241,597.3691
