QTYPE,bpw,ppl
bf16,16.005,3.4852
q8_0,8.508,3.4862
iq6_k,6.805,3.4883
q4_1,5.104,3.4923
iq4_ks,4.2538,3.5077
iq4_xs,4.206,3.5102
iq3_kl,3.9048,3.536
iq3_kl,3.9,3.5409
iq3_m,3.7525,3.5439
iq3_k,3.403,3.5658
iq3_ks,3.2099,3.6082
iq3_xxs,3.0015,3.6491
iq3_xxs,2.994,3.6536
iq2_kl,2.6825,3.7801
iq2_s,2.5523,3.8012
iq2_k,2.4664,3.8289
iq2_k,2.46,3.8717
iq2_k,2.3549,3.8812
iq2_k,2.344,3.9153
iq2_ks,2.1626,3.9966
iq2_kt,2.1269,4.0517
iq2_xxs,1.9993,4.1883
iq2_xxs,1.9312,4.2302
iq2_xxs,1.925,4.2523
iq1_kt,1.8351,4.3085
iq1_m,1.7015,4.675
