QTYPE,bpw,ppl
bf16,16.002,8.1871
bf16,16.002,8.1862
bf16,16.002,8.1867
bf16,16.002,8.1884
q8_0,11.582,8.197
q8_0,8.519,8.1989
q8_0,8.503,8.1975
q8_0,8.503,8.1973
q8_0,8.503,8.1973
q8_0,8.503,8.1969
q8_0,7.814,8.1863
iq6_k,7.274,8.2202
iq6_k,6.834,8.2271
iq6_k,6.8015,8.2106
iq6_k,6.683,8.2138
iq6_k,6.654,8.2196
q6_K,6.566,8.2132
q6_K,6.566,8.2132
q6_K,6.565,8.0689
q5_1,6.122,8.2372
q5_1,6.016,8.1946
q5_1,5.927,8.254
q5_1,5.867,8.1904
q5_1,5.821,8.2244
q5_1,5.817,8.1333
q5_1,5.769,8.1146
iq5_k,5.674,8.1988
iq5_k,5.624,8.2263
iq5_ks,5.321,8.2844
iq5_ks,5.32,8.3749
iq5_ks,5.278,8.286
iq5_ks,5.253,8.2933
iq5_ks,5.253,8.1208
iq5_ks,5.206,8.1746
q4_1,5.066,8.1408
q4_1,5.066,8.2012
q4_1,5.02,8.1473
q4_1,5.02,8.1509
q4_1,5.018,8.1825
q4_1,5.018,8.1825
q4_1,4.976,8.3128
q4_1,4.858,8.5444
q4_1,4.855,8.2542
q4_1,4.81,8.2004
q4_1,4.797,8.3918
q4_1,4.789,8.1724
q4_1,4.762,8.2375
iq4_k,4.64,8.2512
iq4_k,4.608,8.1714
iq4_k,4.549,8.4222
iq4_k,4.525,8.385
iq4_k,4.506,8.3584
iq4_k,4.45,9.2976
iq4_ks,4.339,8.3973
iq4_ks,4.301,9.3253
iq4_ks,4.258,8.2052
iq4_xs,4.166,8.294
iq4_xs,4.163,8.7304
iq4_kss,4.121,8.2507
iq4_kss,4.115,8.6686
iq4_kss,4.115,9.2932
iq4_kss,4.017,8.6904
iq3_kl,3.877,8.9079
iq3_kl,3.847,8.6604
iq3_m,3.796,9.7519
iq3_m,3.673,9.2495
iq3_m,3.579,8.7903
iq3_m,3.563,9.3954
iq3_k,3.4076,8.634
iq3_xs,3.272,9.7034
iq3_xs,3.251,9.354
iq3_ks,3.241,108.0378
iq3_ks,3.213,9.1908
iq3_kt,3.1,10.6517
iq2_m,2.841,11.5002
iq2_s,2.5572,9.5317
iq2_kt,2.1325,11.6964
iq2_xxs,2.005,12.5413
iq1_m,1.7066,20.2773
