QTYPE,group0
bf16,0
iq1_bn,12.651435
iq1_kt,0.485474
iq1_m,0.664842
iq1_m_r4,0.640955
iq2_bn,12.651435
iq2_bn_r4,12.594388
iq2_k,0.194684
iq2_k_r4,0.194684
iq2_kl,0.133298
iq2_ks,0.281744
iq2_kt,0.240774
iq3_k,0.040663
iq3_k_r4,0.040663
iq3_ks,0.056988
iq3_kt,0.055765
iq3_s,0.051016
iq3_s_r4,0.051828
iq3_xxs,0.077260
iq3_xxs_r4,0.078090
iq4_k,0.009539
iq4_k_r4,0.009539
iq4_ks,0.013869
iq4_ks_r4,0.013869
iq4_kss,0.018749
iq4_kt,0.018938
iq4_nl,0.014366
iq4_nl_r4,0.014372
iq4_xs,0.015004
iq4_xs_r8,0.016056
iq5_k,0.002985
iq5_k_r4,0.002985
iq5_ks,0.003981
iq5_ks_r4,0.003981
iq6_k,0.001239
q2_K,0.181474
q2_k_r4,0.182395
q3_K,0.055615
q3_k_r4,0.057249
q4_0,0.019931
q4_0_r8,0.019967
q4_1,0.013970
q4_K,0.014399
q4_k_r4,0.014567
q5_0,0.005841
q5_0_r4,0.005864
q5_1,0.004500
q5_K,0.004820
q5_k_r4,0.005089
q6_0,0.001879
q6_0_r4,0.001959
q6_K,0.001559
q6_k_r4,0.002319
q8_0,0.000758
q8_0_r8,0.000766
q8_k_r8,0.001787
q8_KV,0.007040
