QTYPE,group0
bf16,404%
iq1_bn,+13376910.99%
iq1_kt,+49.54%
iq1_m,+77.68%
iq1_m_r4,+71.23%
iq2_bn,+13376910.99%
iq2_bn_r4,+12660248.78%
iq2_k,+13.91%
iq2_k_r4,+13.91%
iq2_kl,+11.34%
iq2_ks,+25.65%
iq2_kt,+21.16%
iq3_k,+3.30%
iq3_k_r4,+3.30%
iq3_ks,+2.93%
iq3_kt,+5.09%
iq3_s,+5.70%
iq3_s_r4,+5.58%
iq3_xxs,+4.89%
iq3_xxs_r4,+4.77%
iq4_k,+1.42%
iq4_k_r4,+1.42%
iq4_ks,+2.17%
iq4_ks_r4,+2.17%
iq4_kss,+1.78%
iq4_kt,+1.96%
iq4_nl,+1.26%
iq4_nl_r4,+1.25%
iq4_xs,+1.85%
iq4_xs_r8,+1.82%
iq5_k,-0.48%
iq5_k_r4,-0.48%
iq5_ks,-0.11%
iq5_ks_r4,-0.11%
iq6_k,+0.27%
q2_K,+13.80%
q2_k_r4,+13.78%
q3_K,+4.46%
q3_k_r4,+4.54%
q4_0,+1.32%
q4_0_r8,+1.30%
q4_1,+1.13%
q4_K,+1.26%
q4_k_r4,+1.11%
q5_0,+1.10%
q5_0_r4,+1.10%
q5_1,-0.26%
q5_K,-0.38%
q5_k_r4,-0.52%
q6_0,-0.08%
q6_0_r4,-0.10%
q6_K,-0.08%
q6_k_r4,-0.17%
q8_0,+0.05%
q8_0_r8,+0.05%
q8_k_r8,+0.03%
q8_KV,-0.71%
