QTYPE,group0
bf16,404
iq1_bn,0.013
iq1_kt,71.047
iq1_m,65.951
iq1_m_r4,66.516
iq2_bn,0.013
iq2_bn_r4,0.012
iq2_k,81.418
iq2_k_r4,81.418
iq2_kl,84.600
iq2_ks,77.820
iq2_kt,79.692
iq3_k,91.339
iq3_k_r4,91.339
iq3_ks,89.799
iq3_kt,89.891
iq3_s,90.420
iq3_s_r4,90.293
iq3_xxs,88.294
iq3_xxs_r4,88.221
iq4_k,95.849
iq4_k_r4,95.849
iq4_ks,94.932
iq4_ks_r4,94.932
iq4_kss,94.032
iq4_kt,94.176
iq4_nl,94.758
iq4_nl_r4,94.760
iq4_xs,94.673
iq4_xs_r8,94.470
iq5_k,97.624
iq5_k_r4,97.624
iq5_ks,97.277
iq5_ks_r4,97.277
iq6_k,98.445
q2_K,81.984
q2_k_r4,81.928
q3_K,89.929
q3_k_r4,89.801
q4_0,93.799
q4_0_r8,93.794
q4_1,94.940
q4_K,94.905
q4_k_r4,94.827
q5_0,96.785
q5_0_r4,96.758
q5_1,97.119
q5_K,97.041
q5_k_r4,96.963
q6_0,98.108
q6_0_r4,98.094
q6_K,98.283
q6_k_r4,97.927
q8_0,98.807
q8_0_r8,98.802
q8_k_r8,98.243
q8_KV,96.707
