QTYPE,avg_reduction%,score,ppl%,pp%,tg%
iq1_bn,89.84,-100.0000,+31166711.77%,+18.71%,+64.55%
iq1_kt,89.06,-30.0375,+65.85%,+78.60%,+64.65%
iq1_m,89.06,-100.0000,+137.15%,+15.88%,+64.50%
iq1_m_r4,89.06,-100.0000,+126.15%,+0.05%,+61.71%
iq2_bn,87.50,-100.0000,+31166711.77%,+18.29%,+68.61%
iq2_bn_r4,87.50,-100.0000,+32165481.51%,-93.27%,-88.12%
iq2_kt,86.72,3.2100,+32.86%,+78.99%,+65.29%
iq2_ks,86.33,-11.0525,+46.76%,+80.41%,+62.42%
iq2_k,85.16,-12.2750,+28.41%,+0.29%,+64.25%
iq2_k_r4,85.16,-12.6875,+28.41%,-0.65%,+63.54%
q2_K,83.59,-15.2375,+33.34%,+13.28%,+59.13%
q2_k_r4,83.59,-77.4075,+30.79%,-95.72%,-90.75%
iq2_kl,83.20,18.2300,+15.63%,+78.35%,+57.09%
iq3_xxs,80.86,22.8975,+10.90%,+73.54%,+61.65%
iq3_xxs_r4,80.86,-58.3225,+11.07%,-96.66%,-92.35%
iq3_kt,80.47,26.1275,+7.25%,+77.45%,+56.06%
iq3_ks,80.08,23.5600,+8.78%,+71.51%,+57.85%
iq3_k,78.52,11.0725,+3.93%,+0.93%,+59.08%
iq3_k_r4,78.52,10.0400,+3.93%,-0.03%,+55.91%
iq3_s,78.52,28.1225,+4.88%,+74.48%,+57.53%
iq3_s_r4,78.52,-52.3275,+4.99%,-96.07%,-93.28%
q3_K,78.52,6.5600,+10.11%,+16.63%,+50.05%
q3_k_r4,78.52,-55.0500,+8.03%,-95.69%,-92.39%
iq4_kss,75.00,31.6350,+2.13%,+77.00%,+58.06%
iq4_kt,75.00,30.2175,+2.56%,+75.30%,+55.81%
iq4_ks,73.44,32.0400,+2.03%,+79.79%,+56.49%
iq4_ks_r4,73.44,30.1850,+2.03%,+80.23%,+48.63%
iq4_xs,73.44,31.7725,+1.58%,+76.96%,+56.45%
iq4_xs_r8,73.44,-48.8600,+1.70%,-95.28%,-93.36%
iq4_k,71.88,11.3300,+1.90%,-0.17%,+53.09%
iq4_k_r4,71.88,10.0300,+1.90%,+0.49%,+47.23%
iq4_nl,71.88,31.9400,+1.32%,+77.38%,+55.66%
iq4_nl_r4,71.88,-48.6425,+1.31%,-95.72%,-93.61%
q4_0,71.88,30.3700,+3.10%,+78.12%,+55.76%
q4_0_r8,71.88,-49.9225,+3.11%,-93.91%,-93.34%
q4_K,71.88,29.6575,+1.47%,+73.12%,+51.39%
q4_k_r4,71.88,-48.4200,+1.41%,-94.53%,-93.51%
q4_1,68.75,31.6800,+0.94%,+76.55%,+53.93%
iq5_ks,67.19,30.0525,+0.16%,+71.78%,+49.07%
iq5_ks_r4,67.19,29.9725,+0.16%,+74.53%,+46.00%
iq5_k,65.62,11.7975,+0.28%,+0.47%,+47.84%
iq5_k_r4,65.62,10.9975,+0.28%,+0.78%,+44.33%
q5_0,65.62,31.4675,+0.78%,+78.63%,+50.36%
q5_0_r4,65.62,-48.1750,+0.76%,-95.22%,-94.44%
q5_K,65.62,30.3850,+0.47%,+76.25%,+47.17%
q5_k_r4,65.62,-47.7350,+0.37%,-95.04%,-94.42%
q5_1,62.50,31.1850,+0.35%,+78.06%,+48.08%
q6_0,59.38,31.2625,+0.24%,+79.83%,+46.18%
q6_0_r4,59.38,-47.9475,+0.24%,-95.63%,-95.20%
q6_K,58.98,12.2000,+2.12%,+16.77%,+40.51%
q6_k_r4,58.98,-47.8250,+0.03%,-95.91%,-95.27%
iq6_k,58.59,10.6975,+0.10%,-0.22%,+43.41%
q8_KV,50.00,-51.4825,+2.75%,-98.08%,-96.85%
q8_k_r8,49.61,-47.8575,+0.13%,-94.90%,-96.01%
q8_0,46.88,27.4475,+0.02%,+72.99%,+36.88%
q8_0_r8,46.88,-47.8550,+0.03%,-95.16%,-96.14%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
