QTYPE,avg_reduction%,score,comp_topp%,pp%,tg%
iq1_kt,89.06,-28.9805,+58.10%,+17.71%,+98.78%
iq2_bn_r4,87.50,-65.2325,+100.00%,+33.22%,+105.85%
iq2_kt,86.72,-10.5965,+40.63%,+17.93%,+102.20%
iq2_ks,86.33,-10.7645,+43.43%,+24.57%,+106.10%
iq2_k,85.16,-5.7325,+36.99%,+20.88%,+104.15%
iq2_k_r4,85.16,-4.1125,+36.99%,+26.14%,+105.37%
q2_K,83.59,-8.3190,+38.15%,+19.08%,+100.24%
q2_k_r4,83.59,-7.1165,+38.18%,+23.54%,+100.73%
iq2_kl,83.20,-0.9265,+32.23%,+24.72%,+100.49%
iq3_xxs,80.86,4.5005,+23.81%,+20.81%,+92.44%
iq3_xxs_r4,80.86,1.5095,+23.87%,+10.31%,+91.22%
iq3_kt,80.47,6.6575,+19.98%,+16.33%,+90.24%
iq3_ks,80.08,9.3255,+18.88%,+21.85%,+90.98%
iq3_k,78.52,7.8035,+18.94%,+21.38%,+85.61%
iq3_k_r4,78.52,7.2810,+18.94%,+17.83%,+87.07%
iq3_s,78.52,8.1140,+19.64%,+23.95%,+87.07%
iq3_s_r4,78.52,5.5780,+19.65%,+13.34%,+87.56%
q3_K,78.52,4.9330,+22.15%,+20.29%,+88.05%
q3_k_r4,78.52,4.3625,+22.19%,+20.11%,+86.10%
iq4_kss,75.00,12.3055,+13.12%,+20.25%,+81.46%
iq4_kt,75.00,11.7590,+12.40%,+16.40%,+80.24%
iq4_ks,73.44,14.0330,+10.57%,+19.62%,+78.78%
iq4_ks_r4,73.44,12.2480,+10.57%,+14.19%,+77.07%
iq4_xs,73.44,14.6680,+10.54%,+22.53%,+78.29%
iq4_xs_r8,73.44,13.3825,+10.66%,+18.37%,+77.80%
iq4_k,71.88,15.1865,+8.92%,+20.80%,+75.61%
iq4_k_r4,71.88,13.8165,+8.92%,+15.56%,+75.37%
iq4_nl,71.88,9.3000,+10.98%,+6.24%,+74.88%
iq4_nl_r4,71.88,10.4845,+10.96%,+11.89%,+73.90%
q4_0,71.88,12.5545,+11.58%,+19.23%,+77.32%
q4_0_r8,71.88,11.9155,+11.58%,+20.31%,+73.66%
q4_K,71.88,15.3075,+9.45%,+23.16%,+75.85%
q4_k_r4,71.88,16.5380,+9.38%,+28.80%,+74.88%
q4_1,68.75,12.4800,+10.86%,+23.10%,+70.24%
iq5_ks,67.19,16.4870,+5.45%,+20.44%,+67.32%
iq5_ks_r4,67.19,12.2345,+5.45%,+11.48%,+59.27%
iq5_k,65.62,17.1000,+4.67%,+22.71%,+64.39%
iq5_k_r4,65.62,12.8725,+4.67%,+16.04%,+54.15%
q5_0,65.62,13.9400,+6.20%,+16.64%,+63.90%
q5_0_r4,65.62,14.6160,+6.15%,+18.69%,+64.39%
q5_K,65.62,16.4380,+5.75%,+24.35%,+64.39%
q5_k_r4,65.62,16.4715,+5.78%,+24.13%,+64.88%
q5_1,62.50,15.0160,+5.83%,+23.38%,+60.00%
q6_0,59.38,14.5855,+3.16%,+16.34%,+54.63%
q6_0_r4,59.38,15.4480,+3.16%,+20.05%,+54.39%
q6_K,58.98,15.3210,+3.01%,+17.97%,+55.37%
q6_k_r4,58.98,15.5125,+3.44%,+19.98%,+55.85%
iq6_k,58.59,16.9255,+2.69%,+23.57%,+54.88%
q8_KV,50.00,8.6165,+8.95%,+28.15%,+42.12%
q8_k_r8,49.61,13.8715,+2.30%,+21.03%,+43.66%
q8_0,46.88,200.0500,+1.95%,+404.00%,+404.00%
q8_0_r8,46.88,12.9505,+1.97%,+20.18%,+39.51%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
