QTYPE,bpw,group0
iq1_bn,404,404
iq2_bn,404,404
iq2_bn_r4,404,14.521723
bf16,16.000780,0
q8_0,8.501146,0.001257
q8_0_r8,8.501146,0.001287
q8_k_r8,8.063792,0.002864
q8_KV,8.001170,0.035117
iq6_k,6.626237,0.002599
q6_K,6.563740,0.003351
q6_k_r4,6.563740,0.004877
q6_0,6.501243,0.004148
q6_0_r4,6.501243,0.004145
q5_1,6.001268,0.012937
iq5_k,5.501292,0.007876
iq5_k_r4,5.501292,0.007876
q5_0,5.501292,0.014980
q5_0_r4,5.501292,0.014922
q5_K,5.501292,0.012250
q5_k_r4,5.501292,0.012050
iq5_ks,5.251304,0.010381
iq5_ks_r4,5.251304,0.010381
q4_1,5.001316,0.045343
iq4_k,4.501341,0.029900
iq4_k_r4,4.501341,0.029900
iq4_nl,4.501341,0.044675
iq4_nl_r4,4.501341,0.044744
q4_0,4.501341,0.055857
q4_0_r8,4.501341,0.055877
q4_K,4.501341,0.037003
q4_k_r4,4.501341,0.036972
iq4_ks,4.251353,0.042148
iq4_ks_r4,4.251353,0.042148
iq4_xs,4.251353,0.043045
iq4_xs_r8,4.251353,0.044511
iq4_kss,4.001365,0.067568
iq4_kt,4.001365,0.061647
iq3_k,3.438892,0.145984
iq3_k_r4,3.438892,0.145984
iq3_s,3.438892,0.169096
iq3_s_r4,3.438892,0.170365
q3_K,3.438892,0.213769
q3_k_r4,3.438892,0.214849
iq3_ks,3.188905,0.170068
iq3_kt,3.126408,0.179994
iq3_xxs,3.063911,0.265262
iq3_xxs_r4,3.063911,0.266305
iq2_kl,2.688929,0.466686
q2_K,2.626432,0.668667
q2_k_r4,2.626432,0.669954
iq2_k,2.376444,0.668209
iq2_k_r4,2.376444,0.668209
iq2_ks,2.188953,0.933896
iq2_kt,2.126456,0.930509
iq1_kt,1.751475,1.837747
iq1_m,1.751475,404
iq1_m_r4,1.751475,404
