QTYPE,group0
bf16,0
iq1_bn,404
iq1_kt,1.837747
iq1_m,404
iq1_m_r4,404
iq2_bn,404
iq2_bn_r4,14.521723
iq2_k,0.668209
iq2_k_r4,0.668209
iq2_kl,0.466686
iq2_ks,0.933896
iq2_kt,0.930509
iq3_k,0.145984
iq3_k_r4,0.145984
iq3_ks,0.170068
iq3_kt,0.179994
iq3_s,0.169096
iq3_s_r4,0.170365
iq3_xxs,0.265262
iq3_xxs_r4,0.266305
iq4_k,0.029900
iq4_k_r4,0.029900
iq4_ks,0.042148
iq4_ks_r4,0.042148
iq4_kss,0.067568
iq4_kt,0.061647
iq4_nl,0.044675
iq4_nl_r4,0.044744
iq4_xs,0.043045
iq4_xs_r8,0.044511
iq5_k,0.007876
iq5_k_r4,0.007876
iq5_ks,0.010381
iq5_ks_r4,0.010381
iq6_k,0.002599
q2_K,0.668667
q2_k_r4,0.669954
q3_K,0.213769
q3_k_r4,0.214849
q4_0,0.055857
q4_0_r8,0.055877
q4_1,0.045343
q4_K,0.037003
q4_k_r4,0.036972
q5_0,0.014980
q5_0_r4,0.014922
q5_1,0.012937
q5_K,0.012250
q5_k_r4,0.012050
q6_0,0.004148
q6_0_r4,0.004145
q6_K,0.003351
q6_k_r4,0.004877
q8_0,0.001257
q8_0_r8,0.001287
q8_k_r8,0.002864
q8_KV,0.035117
