QTYPE,group0
bf16,0%
iq1_bn,+24.42%
iq1_kt,+17.71%
iq1_m,+22.27%
iq1_m_r4,+3.58%
iq2_bn,+29.95%
iq2_bn_r4,+33.22%
iq2_k,+20.88%
iq2_kl,+24.72%
iq2_k_r4,+26.14%
iq2_ks,+24.57%
iq2_kt,+17.93%
iq3_k,+21.38%
iq3_k_r4,+17.83%
iq3_ks,+21.85%
iq3_kt,+16.33%
iq3_s,+23.95%
iq3_s_r4,+13.34%
iq3_xxs,+20.81%
iq3_xxs_r4,+10.31%
iq4_k,+20.80%
iq4_k_r4,+15.56%
iq4_ks,+19.62%
iq4_ks_r4,+14.19%
iq4_kss,+20.25%
iq4_kt,+16.40%
iq4_nl,+6.24%
iq4_nl_r4,+11.89%
iq4_xs,+22.53%
iq4_xs_r8,+18.37%
iq5_k,+22.71%
iq5_k_r4,+16.04%
iq5_ks,+20.44%
iq5_ks_r4,+11.48%
iq6_k,+23.57%
q2_K,+19.08%
q2_k_r4,+23.54%
q3_K,+20.29%
q3_k_r4,+20.11%
q4_0,+19.23%
q4_0_r8,+20.31%
q4_1,+23.10%
q4_K,+23.16%
q4_k_r4,+28.80%
q5_0,+16.64%
q5_0_r4,+18.69%
q5_1,+23.38%
q5_K,+24.35%
q5_k_r4,+24.13%
q6_0,+16.34%
q6_0_r4,+20.05%
q6_K,+17.97%
q6_k_r4,+19.98%
q8_0,404%
q8_0_r8,+20.18%
q8_k_r8,+21.03%
