QTYPE,group0
bf16,0%
iq1_bn,+18.71%
iq1_kt,+78.60%
iq1_m,+15.88%
iq1_m_r4,+0.05%
iq2_bn,+18.29%
iq2_bn_r4,-93.27%
iq2_k,+0.29%
iq2_k_r4,-0.65%
iq2_kl,+78.35%
iq2_ks,+80.41%
iq2_kt,+78.99%
iq3_k,+0.93%
iq3_k_r4,-0.03%
iq3_ks,+71.51%
iq3_kt,+77.45%
iq3_s,+74.48%
iq3_s_r4,-96.07%
iq3_xxs,+73.54%
iq3_xxs_r4,-96.66%
iq4_k,-0.17%
iq4_k_r4,+0.49%
iq4_ks,+79.79%
iq4_ks_r4,+80.23%
iq4_kss,+77.00%
iq4_kt,+75.30%
iq4_nl,+77.38%
iq4_nl_r4,-95.72%
iq4_xs,+76.96%
iq4_xs_r8,-95.28%
iq5_k,+0.47%
iq5_k_r4,+0.78%
iq5_ks,+71.78%
iq5_ks_r4,+74.53%
iq6_k,-0.22%
q2_K,+13.28%
q2_k_r4,-95.72%
q3_K,+16.63%
q3_k_r4,-95.69%
q4_0,+78.12%
q4_0_r8,-93.91%
q4_1,+76.55%
q4_K,+73.12%
q4_k_r4,-94.53%
q5_0,+78.63%
q5_0_r4,-95.22%
q5_1,+78.06%
q5_K,+76.25%
q5_k_r4,-95.04%
q6_0,+79.83%
q6_0_r4,-95.63%
q6_K,+16.77%
q6_k_r4,-95.91%
q8_0,+72.99%
q8_0_r8,-95.16%
q8_k_r8,-94.90%
q8_KV,-98.08%
