QTYPE,group0
bf16,404%
iq1_bn,404%
iq1_kt,+419.46%
iq1_m,404%
iq1_m_r4,404%
iq2_bn,404%
iq2_bn_r4,+68379934.13%
iq2_k,+89.51%
iq2_k_r4,+89.51%
iq2_kl,+48.81%
iq2_ks,+143.90%
iq2_kt,+137.10%
iq3_k,+11.55%
iq3_k_r4,+11.55%
iq3_ks,+17.03%
iq3_kt,+18.76%
iq3_s,+19.11%
iq3_s_r4,+19.26%
iq3_xxs,+31.38%
iq3_xxs_r4,+31.49%
iq4_k,+3.80%
iq4_k_r4,+3.80%
iq4_ks,+3.30%
iq4_ks_r4,+3.30%
iq4_kss,+6.11%
iq4_kt,+5.42%
iq4_nl,+2.32%
iq4_nl_r4,+2.35%
iq4_xs,+2.28%
iq4_xs_r8,+2.39%
iq5_k,+0.45%
iq5_k_r4,+0.45%
iq5_ks,+0.42%
iq5_ks_r4,+0.42%
iq6_k,+0.32%
q2_K,+85.25%
q2_k_r4,+85.48%
q3_K,+18.98%
q3_k_r4,+19.09%
q4_0,+4.04%
q4_0_r8,+4.04%
q4_1,+3.12%
q4_K,+2.63%
q4_k_r4,+2.58%
q5_0,+1.10%
q5_0_r4,+1.09%
q5_1,+1.03%
q5_K,+0.61%
q5_k_r4,+0.51%
q6_0,+0.27%
q6_0_r4,+0.24%
q6_K,+0.05%
q6_k_r4,+0.10%
q8_0,+0.02%
q8_0_r8,+0.03%
q8_k_r8,+0.15%
q8_KV,+2.75%
