QTYPE,group0
bf16,0%
iq1_bn,31166711.77%
iq1_kt,65.85%
iq1_m,137.15%
iq1_m_r4,126.15%
iq2_bn,31166711.77%
iq2_bn_r4,32165481.51%
iq2_k,28.41%
iq2_k_r4,28.41%
iq2_kl,15.63%
iq2_ks,46.76%
iq2_kt,32.86%
iq3_k,3.93%
iq3_k_r4,3.93%
iq3_ks,8.78%
iq3_kt,7.25%
iq3_s,4.88%
iq3_s_r4,4.99%
iq3_xxs,10.90%
iq3_xxs_r4,11.07%
iq4_k,1.90%
iq4_k_r4,1.90%
iq4_ks,2.03%
iq4_ks_r4,2.03%
iq4_kss,2.13%
iq4_kt,2.56%
iq4_nl,1.32%
iq4_nl_r4,1.31%
iq4_xs,1.58%
iq4_xs_r8,1.70%
iq5_k,0.28%
iq5_k_r4,0.28%
iq5_ks,0.16%
iq5_ks_r4,0.16%
iq6_k,0.10%
q2_K,33.34%
q2_k_r4,30.79%
q3_K,10.11%
q3_k_r4,8.03%
q4_0,3.10%
q4_0_r8,3.11%
q4_1,0.94%
q4_K,1.47%
q4_k_r4,1.41%
q5_0,0.78%
q5_0_r4,0.76%
q5_1,0.35%
q5_K,0.47%
q5_k_r4,0.37%
q6_0,0.24%
q6_0_r4,0.24%
q6_K,2.12%
q6_k_r4,0.03%
q8_0,0.02%
q8_0_r8,0.03%
q8_k_r8,0.13%
q8_KV,2.75%
