QTYPE,avg_reduction%,score,ppl%,pp%,tg%
iq1_bn,89.84,-100.0000,+31166711.77%,+24.42%,+114.63%
iq1_kt,89.06,-36.7275,+65.85%,+17.71%,+98.78%
iq1_m,89.06,-100.0000,+137.15%,+22.27%,+108.05%
iq1_m_r4,89.06,-97.7550,+126.15%,+3.58%,+110.00%
iq2_bn,87.50,-100.0000,+31166711.77%,+29.95%,+109.51%
iq2_bn_r4,87.50,-100.0000,+32165481.51%,+33.22%,+105.85%
iq2_kt,86.72,-2.8275,+32.86%,+17.93%,+102.20%
iq2_ks,86.33,-14.0925,+46.76%,+24.57%,+106.10%
iq2_k,85.16,2.8475,+28.41%,+20.88%,+104.15%
iq2_k_r4,85.16,4.4675,+28.41%,+26.14%,+105.37%
q2_K,83.59,-3.5100,+33.34%,+19.08%,+100.24%
q2_k_r4,83.59,0.2775,+30.79%,+23.54%,+100.73%
iq2_kl,83.20,15.6725,+15.63%,+24.72%,+100.49%
iq3_xxs,80.86,17.4125,+10.90%,+20.81%,+92.44%
iq3_xxs_r4,80.86,14.3125,+11.07%,+10.31%,+91.22%
iq3_kt,80.47,19.3925,+7.25%,+16.33%,+90.24%
iq3_ks,80.08,19.4275,+8.78%,+21.85%,+90.98%
iq3_k,78.52,22.8175,+3.93%,+21.38%,+85.61%
iq3_k_r4,78.52,22.2950,+3.93%,+17.83%,+87.07%
iq3_s,78.52,22.8750,+4.88%,+23.95%,+87.07%
iq3_s_r4,78.52,20.2350,+4.99%,+13.34%,+87.56%
q3_K,78.52,16.9750,+10.11%,+20.29%,+88.05%
q3_k_r4,78.52,18.5225,+8.03%,+20.11%,+86.10%
iq4_kss,75.00,23.2975,+2.13%,+20.25%,+81.46%
iq4_kt,75.00,21.6000,+2.56%,+16.40%,+80.24%
iq4_ks,73.44,22.5700,+2.03%,+19.62%,+78.78%
iq4_ks_r4,73.44,20.7850,+2.03%,+14.19%,+77.07%
iq4_xs,73.44,23.6250,+1.58%,+22.53%,+78.29%
iq4_xs_r8,73.44,22.3425,+1.70%,+18.37%,+77.80%
iq4_k,71.88,22.2025,+1.90%,+20.80%,+75.61%
iq4_k_r4,71.88,20.8325,+1.90%,+15.56%,+75.37%
iq4_nl,71.88,18.9600,+1.32%,+6.24%,+74.88%
iq4_nl_r4,71.88,20.1375,+1.31%,+11.89%,+73.90%
q4_0,71.88,21.0375,+3.10%,+19.23%,+77.32%
q4_0_r8,71.88,20.3825,+3.11%,+20.31%,+73.66%
q4_K,71.88,23.2825,+1.47%,+23.16%,+75.85%
q4_k_r4,71.88,24.5100,+1.41%,+28.80%,+74.88%
q4_1,68.75,22.3950,+0.94%,+23.10%,+70.24%
iq5_ks,67.19,21.7800,+0.16%,+20.44%,+67.32%
iq5_ks_r4,67.19,17.5275,+0.16%,+11.48%,+59.27%
iq5_k,65.62,21.4950,+0.28%,+22.71%,+64.39%
iq5_k_r4,65.62,17.2675,+0.28%,+16.04%,+54.15%
q5_0,65.62,19.3550,+0.78%,+16.64%,+63.90%
q5_0_r4,65.62,20.0100,+0.76%,+18.69%,+64.39%
q5_K,65.62,21.7150,+0.47%,+24.35%,+64.39%
q5_k_r4,65.62,21.8825,+0.37%,+24.13%,+64.88%
q5_1,62.50,20.4950,+0.35%,+23.38%,+60.00%
q6_0,59.38,17.5025,+0.24%,+16.34%,+54.63%
q6_0_r4,59.38,18.3700,+0.24%,+20.05%,+54.39%
q6_K,58.98,16.2150,+2.12%,+17.97%,+55.37%
q6_k_r4,58.98,18.9275,+0.03%,+19.98%,+55.85%
iq6_k,58.59,19.5125,+0.10%,+23.57%,+54.88%
q8_k_r8,49.61,16.0425,+0.13%,+21.03%,+43.66%
q8_0,46.88,201.9800,+0.02%,+404.00%,+404.00%
q8_0_r8,46.88,14.8925,+0.03%,+20.18%,+39.51%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
