QTYPE,avg_reduction%,score,ppl%,pp%,tg%
iq1_bn,89.84,-100.0000,+31166711.77%,+77.46%,+273.11%
iq1_kt,89.06,26.2550,+65.85%,+142.86%,+93.86%
iq1_m,89.06,-13.7200,+137.15%,+71.77%,+147.65%
iq1_m_r4,89.06,-5.7175,+126.15%,+52.41%,+177.02%
iq2_bn,87.50,-100.0000,+31166711.77%,+73.94%,+293.99%
iq2_bn_r4,87.50,-100.0000,+32165481.51%,-87.99%,+278.07%
iq2_kt,86.72,42.8125,+32.86%,+137.23%,+99.74%
iq2_ks,86.33,76.3225,+46.76%,+141.24%,+257.57%
iq2_k,85.16,62.8250,+28.41%,+50.16%,+257.96%
iq2_k_r4,85.16,67.7800,+28.41%,+50.26%,+277.68%
q2_K,83.59,67.5875,+33.34%,+65.88%,+271.15%
q2_k_r4,83.59,30.6175,+30.79%,-91.93%,+275.98%
iq2_kl,83.20,75.6600,+15.63%,+129.33%,+204.57%
iq3_xxs,80.86,53.5100,+10.90%,+125.40%,+110.44%
iq3_xxs_r4,80.86,17.3100,+11.07%,-94.13%,+185.51%
iq3_kt,80.47,50.5175,+7.25%,+122.58%,+93.99%
iq3_ks,80.08,81.8025,+8.78%,+125.19%,+219.58%
iq3_k,78.52,63.1525,+3.93%,+44.02%,+216.45%
iq3_k_r4,78.52,67.3400,+3.93%,+44.58%,+232.64%
iq3_s,78.52,46.5850,+4.88%,+120.12%,+75.98%
iq3_s_r4,78.52,7.6900,+4.99%,-93.07%,+133.81%
q3_K,78.52,67.8850,+10.11%,+62.26%,+229.50%
q3_k_r4,78.52,27.3725,+8.03%,-92.34%,+217.89%
iq4_kss,75.00,73.0800,+2.13%,+116.03%,+180.55%
iq4_kt,75.00,33.1950,+2.56%,+110.88%,+27.02%
iq4_ks,73.44,70.1925,+2.03%,+113.81%,+171.02%
iq4_ks_r4,73.44,76.2400,+2.03%,+113.07%,+195.95%
iq4_xs,73.44,76.8650,+1.58%,+113.75%,+196.87%
iq4_xs_r8,73.44,25.2750,+1.70%,-91.58%,+196.08%
iq4_k,71.88,54.9800,+1.90%,+40.17%,+183.55%
iq4_k_r4,71.88,57.4025,+1.90%,+39.02%,+194.39%
iq4_nl,71.88,72.0100,+1.32%,+106.08%,+184.60%
iq4_nl_r4,71.88,24.1675,+1.31%,-92.35%,+191.64%
q4_0,71.88,71.5800,+3.10%,+109.88%,+182.64%
q4_0_r8,71.88,24.3725,+3.11%,-89.11%,+192.82%
q4_K,71.88,72.6625,+1.47%,+107.30%,+186.29%
q4_k_r4,71.88,25.0750,+1.41%,-90.09%,+193.21%
q4_1,68.75,67.7975,+0.94%,+104.66%,+168.41%
iq5_ks,67.19,62.6725,+0.16%,+97.62%,+153.39%
iq5_ks_r4,67.19,64.9150,+0.16%,+99.93%,+160.05%
iq5_k,65.62,47.2700,+0.28%,+34.68%,+154.96%
iq5_k_r4,65.62,47.0750,+0.28%,+32.72%,+156.14%
q5_0,65.62,62.1950,+0.78%,+98.38%,+151.96%
q5_0_r4,65.62,16.0825,+0.76%,-91.59%,+157.44%
q5_K,65.62,63.3200,+0.47%,+98.35%,+155.87%
q5_k_r4,65.62,17.8650,+0.37%,-91.25%,+163.45%
q5_1,62.50,56.5575,+0.35%,+92.47%,+134.46%
q6_0,59.38,54.6300,+0.24%,+88.84%,+130.16%
q6_0_r4,59.38,8.7425,+0.24%,-91.97%,+127.42%
q6_K,58.98,43.9275,+2.12%,+43.79%,+136.16%
q6_k_r4,58.98,10.1250,+0.03%,-92.73%,+133.29%
iq6_k,58.59,37.8825,+0.10%,+29.80%,+121.93%
q8_k_r8,49.61,3.6025,+0.13%,-90.94%,+105.61%
q8_0,46.88,42.3825,+0.02%,+72.31%,+97.26%
q8_0_r8,46.88,-1.7275,+0.03%,-92.75%,+85.90%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
