QTYPE,avg_reduction%,score,comp_topp%,pp%,tg%
iq1_kt,89.06,-22.2905,+58.10%,+78.60%,+64.65%
iq2_bn_r4,87.50,-100.0000,+100.00%,-93.27%,-88.12%
iq2_kt,86.72,-4.5590,+40.63%,+78.99%,+65.29%
iq2_ks,86.33,-7.7245,+43.43%,+80.41%,+62.42%
iq2_k,85.16,-20.8550,+36.99%,+0.29%,+64.25%
iq2_k_r4,85.16,-21.2675,+36.99%,-0.65%,+63.54%
q2_K,83.59,-20.0465,+38.15%,+13.28%,+59.13%
q2_k_r4,83.59,-84.8015,+38.18%,-95.72%,-90.75%
iq2_kl,83.20,1.6310,+32.23%,+78.35%,+57.09%
iq3_xxs,80.86,9.9855,+23.81%,+73.54%,+61.65%
iq3_xxs_r4,80.86,-71.1255,+23.87%,-96.66%,-92.35%
iq3_kt,80.47,13.3925,+19.98%,+77.45%,+56.06%
iq3_ks,80.08,13.4580,+18.88%,+71.51%,+57.85%
iq3_k,78.52,-3.9415,+18.94%,+0.93%,+59.08%
iq3_k_r4,78.52,-4.9740,+18.94%,-0.03%,+55.91%
iq3_s,78.52,13.3615,+19.64%,+74.48%,+57.53%
iq3_s_r4,78.52,-66.9845,+19.65%,-96.07%,-93.28%
q3_K,78.52,-5.4820,+22.15%,+16.63%,+50.05%
q3_k_r4,78.52,-69.2100,+22.19%,-95.69%,-92.39%
iq4_kss,75.00,20.6430,+13.12%,+77.00%,+58.06%
iq4_kt,75.00,20.3765,+12.40%,+75.30%,+55.81%
iq4_ks,73.44,23.5030,+10.57%,+79.79%,+56.49%
iq4_ks_r4,73.44,21.6480,+10.57%,+80.23%,+48.63%
iq4_xs,73.44,22.8155,+10.54%,+76.96%,+56.45%
iq4_xs_r8,73.44,-57.8200,+10.66%,-95.28%,-93.36%
iq4_k,71.88,4.3140,+8.92%,-0.17%,+53.09%
iq4_k_r4,71.88,3.0140,+8.92%,+0.49%,+47.23%
iq4_nl,71.88,22.2800,+10.98%,+77.38%,+55.66%
iq4_nl_r4,71.88,-58.2955,+10.96%,-95.72%,-93.61%
q4_0,71.88,21.8870,+11.58%,+78.12%,+55.76%
q4_0_r8,71.88,-58.3895,+11.58%,-93.91%,-93.34%
q4_K,71.88,21.6825,+9.45%,+73.12%,+51.39%
q4_k_r4,71.88,-56.3920,+9.38%,-94.53%,-93.51%
q4_1,68.75,21.7650,+10.86%,+76.55%,+53.93%
iq5_ks,67.19,24.7595,+5.45%,+71.78%,+49.07%
iq5_ks_r4,67.19,24.6795,+5.45%,+74.53%,+46.00%
iq5_k,65.62,7.4025,+4.67%,+0.47%,+47.84%
iq5_k_r4,65.62,6.6025,+4.67%,+0.78%,+44.33%
q5_0,65.62,26.0525,+6.20%,+78.63%,+50.36%
q5_0_r4,65.62,-53.5690,+6.15%,-95.22%,-94.44%
q5_K,65.62,25.1080,+5.75%,+76.25%,+47.17%
q5_k_r4,65.62,-53.1460,+5.78%,-95.04%,-94.42%
q5_1,62.50,25.7060,+5.83%,+78.06%,+48.08%
q6_0,59.38,28.3455,+3.16%,+79.83%,+46.18%
q6_0_r4,59.38,-50.8695,+3.16%,-95.63%,-95.20%
q6_K,58.98,11.3060,+3.01%,+16.77%,+40.51%
q6_k_r4,58.98,-51.2400,+3.44%,-95.91%,-95.27%
iq6_k,58.59,8.1105,+2.69%,-0.22%,+43.41%
q8_KV,50.00,-57.6835,+8.95%,-98.08%,-96.85%
q8_k_r8,49.61,-50.0285,+2.30%,-94.90%,-96.01%
q8_0,46.88,25.5175,+1.95%,+72.99%,+36.88%
q8_0_r8,46.88,-49.7970,+1.97%,-95.16%,-96.14%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
