QTYPE,group0
bf16,404
iq1_bn,404
iq1_kt,41.897
iq1_m,404
iq1_m_r4,404
iq2_bn,404
iq2_bn_r4,0.000
iq2_k,63.010
iq2_k_r4,63.010
iq2_kl,67.771
iq2_ks,56.568
iq2_kt,59.371
iq3_k,81.056
iq3_k_r4,81.056
iq3_ks,81.118
iq3_kt,80.015
iq3_s,80.359
iq3_s_r4,80.353
iq3_xxs,76.188
iq3_xxs_r4,76.127
iq4_k,91.084
iq4_k_r4,91.084
iq4_ks,89.433
iq4_ks_r4,89.433
iq4_kss,86.878
iq4_kt,87.599
iq4_nl,89.020
iq4_nl_r4,89.037
iq4_xs,89.463
iq4_xs_r8,89.340
iq5_k,95.325
iq5_k_r4,95.325
iq5_ks,94.547
iq5_ks_r4,94.547
iq6_k,97.313
q2_K,61.851
q2_k_r4,61.816
q3_K,77.848
q3_k_r4,77.810
q4_0,88.417
q4_0_r8,88.423
q4_1,89.145
q4_K,90.555
q4_k_r4,90.618
q5_0,93.805
q5_0_r4,93.846
q5_1,94.171
q5_K,94.253
q5_k_r4,94.219
q6_0,96.843
q6_0_r4,96.838
q6_K,96.986
q6_k_r4,96.555
q8_0,98.050
q8_0_r8,98.028
q8_k_r8,97.699
q8_KV,91.049
