QTYPE,group0
bf16,0%
iq1_bn,+114.63%
iq1_kt,+98.78%
iq1_m,+108.05%
iq1_m_r4,+110.00%
iq2_bn,+109.51%
iq2_bn_r4,+105.85%
iq2_k,+104.15%
iq2_kl,+100.49%
iq2_k_r4,+105.37%
iq2_ks,+106.10%
iq2_kt,+102.20%
iq3_k,+85.61%
iq3_k_r4,+87.07%
iq3_ks,+90.98%
iq3_kt,+90.24%
iq3_s,+87.07%
iq3_s_r4,+87.56%
iq3_xxs,+92.44%
iq3_xxs_r4,+91.22%
iq4_k,+75.61%
iq4_k_r4,+75.37%
iq4_ks,+78.78%
iq4_ks_r4,+77.07%
iq4_kss,+81.46%
iq4_kt,+80.24%
iq4_nl,+74.88%
iq4_nl_r4,+73.90%
iq4_xs,+78.29%
iq4_xs_r8,+77.80%
iq5_k,+64.39%
iq5_k_r4,+54.15%
iq5_ks,+67.32%
iq5_ks_r4,+59.27%
iq6_k,+54.88%
q2_K,+100.24%
q2_k_r4,+100.73%
q3_K,+88.05%
q3_k_r4,+86.10%
q4_0,+77.32%
q4_0_r8,+73.66%
q4_1,+70.24%
q4_K,+75.85%
q4_k_r4,+74.88%
q5_0,+63.90%
q5_0_r4,+64.39%
q5_1,+60.00%
q5_K,+64.39%
q5_k_r4,+64.88%
q6_0,+54.63%
q6_0_r4,+54.39%
q6_K,+55.37%
q6_k_r4,+55.85%
q8_0,404%
q8_0_r8,+39.51%
q8_k_r8,+43.66%
