QTYPE,group0
bf16,+0%
iq1_bn,+273.11%
iq1_kt,+93.86%
iq1_m,+147.65%
iq1_m_r4,+177.02%
iq2_bn,+293.99%
iq2_bn_r4,+278.07%
iq2_k,+257.96%
iq2_k_r4,+277.68%
iq2_kl,+204.57%
iq2_ks,+257.57%
iq2_kt,+99.74%
iq3_k,+216.45%
iq3_k_r4,+232.64%
iq3_ks,+219.58%
iq3_kt,+93.99%
iq3_s,+75.98%
iq3_s_r4,+133.81%
iq3_xxs,+110.44%
iq3_xxs_r4,+185.51%
iq4_k,+183.55%
iq4_k_r4,+194.39%
iq4_ks,+171.02%
iq4_ks_r4,+195.95%
iq4_kss,+180.55%
iq4_kt,+27.02%
iq4_nl,+184.60%
iq4_nl_r4,+191.64%
iq4_xs,+196.87%
iq4_xs_r8,+196.08%
iq5_k,+154.96%
iq5_k_r4,+156.14%
iq5_ks,+153.39%
iq5_ks_r4,+160.05%
iq6_k,+121.93%
q2_K,+271.15%
q2_k_r4,+275.98%
q3_K,+229.50%
q3_k_r4,+217.89%
q4_0,+182.64%
q4_0_r8,+192.82%
q4_1,+168.41%
q4_K,+186.29%
q4_k_r4,+193.21%
q5_0,+151.96%
q5_0_r4,+157.44%
q5_1,+134.46%
q5_K,+155.87%
q5_k_r4,+163.45%
q6_0,+130.16%
q6_0_r4,+127.42%
q6_K,+136.16%
q6_k_r4,+133.29%
q8_0,+97.26%
q8_0_r8,+85.90%
q8_k_r8,+105.61%
q8_KV,+18.00%
